"COD_UF";"NO_UF";"COD_MUN";"NO_MUN";"SEXO";"ETNIA";"LE_ESCREVE";"SIT_DOM";"POP"
12;"AC";1200013;"Acrelândia";"Feminino";"Amarela";"Sim";"Rural";27.9717688568335
12;"AC";1200013;"Acrelândia";"Feminino";"Branca";"Não";"Rural";111.795517241498
12;"AC";1200013;"Acrelândia";"Feminino";"Branca";"Sim";"Rural";570.058534153324
12;"AC";1200013;"Acrelândia";"Feminino";"Branca";NA;"Rural";136.626238522657
12;"AC";1200013;"Acrelândia";"Feminino";"Parda";"Não";"Rural";405.074611209471
12;"AC";1200013;"Acrelândia";"Feminino";"Parda";"Sim";"Rural";1424.26978033718
12;"AC";1200013;"Acrelândia";"Feminino";"Parda";NA;"Rural";181.053560573974
12;"AC";1200013;"Acrelândia";"Feminino";"Preta";"Não";"Rural";32.7944811096932
12;"AC";1200013;"Acrelândia";"Feminino";"Preta";"Sim";"Rural";80.6174092993094
12;"AC";1200013;"Acrelândia";"Feminino";"Preta";NA;"Rural";5.7380986960643
12;"AC";1200013;"Acrelândia";"Masculino";"Amarela";"Não";"Rural";14.3055860936476
12;"AC";1200013;"Acrelândia";"Masculino";"Amarela";"Sim";"Rural";10.3841211865652
12;"AC";1200013;"Acrelândia";"Masculino";"Branca";"Não";"Rural";97.7655104296604
12;"AC";1200013;"Acrelândia";"Masculino";"Branca";"Sim";"Rural";615.626898829088
12;"AC";1200013;"Acrelândia";"Masculino";"Branca";NA;"Rural";94.3369889304347
12;"AC";1200013;"Acrelândia";"Masculino";"Parda";"Não";"Rural";567.42978617158
12;"AC";1200013;"Acrelândia";"Masculino";"Parda";"Sim";"Rural";1819.73522809082
12;"AC";1200013;"Acrelândia";"Masculino";"Parda";NA;"Rural";171.414826878924
12;"AC";1200013;"Acrelândia";"Masculino";"Preta";"Não";"Rural";75.5072220139148
12;"AC";1200013;"Acrelândia";"Masculino";"Preta";"Sim";"Rural";151.360687515047
12;"AC";1200013;"Acrelândia";"Masculino";"Preta";NA;"Rural";28.1331438603172
12;"AC";1200013;"Acrelândia";"Feminino";"Amarela";"Sim";"Urbana";17.928051326168
12;"AC";1200013;"Acrelândia";"Feminino";"Amarela";NA;"Urbana";11.5338803870521
12;"AC";1200013;"Acrelândia";"Feminino";"Branca";"Não";"Urbana";109.394543273467
12;"AC";1200013;"Acrelândia";"Feminino";"Branca";"Sim";"Urbana";623.765338499477
12;"AC";1200013;"Acrelândia";"Feminino";"Branca";NA;"Urbana";108.841115083973
