"COD_UF";"NO_UF";"COD_MUN";"NO_MUN";"SEXO";"ETNIA";"LE_ESCREVE";"SIT_DOM";"POP"
27;"AL";2700102;"Água Branca";"Feminino";"Amarela";"Não";"Rural";16.3554483822986
27;"AL";2700102;"Água Branca";"Feminino";"Amarela";"Sim";"Rural";60.276952568018
27;"AL";2700102;"Água Branca";"Feminino";"Amarela";NA;"Rural";9.8650527074818
27;"AL";2700102;"Água Branca";"Feminino";"Branca";"Não";"Rural";284.658764415189
27;"AL";2700102;"Água Branca";"Feminino";"Branca";"Sim";"Rural";779.033191143091
27;"AL";2700102;"Água Branca";"Feminino";"Branca";NA;"Rural";144.685022426795
27;"AL";2700102;"Água Branca";"Feminino";"Indígena";"Não";"Rural";64.4767401346765
27;"AL";2700102;"Água Branca";"Feminino";"Indígena";"Sim";"Rural";72.4310513891741
27;"AL";2700102;"Água Branca";"Feminino";"Indígena";NA;"Rural";7.9408637389791
27;"AL";2700102;"Água Branca";"Feminino";"Parda";"Não";"Rural";1343.92785717046
27;"AL";2700102;"Água Branca";"Feminino";"Parda";"Sim";"Rural";3184.31814578982
27;"AL";2700102;"Água Branca";"Feminino";"Parda";NA;"Rural";478.943697149476
27;"AL";2700102;"Água Branca";"Feminino";"Preta";"Não";"Rural";240.392727626312
27;"AL";2700102;"Água Branca";"Feminino";"Preta";"Sim";"Rural";335.468381281995
27;"AL";2700102;"Água Branca";"Feminino";"Preta";NA;"Rural";44.2261040762414
27;"AL";2700102;"Água Branca";"Masculino";"Amarela";"Não";"Rural";32.2226211452599
27;"AL";2700102;"Água Branca";"Masculino";"Amarela";"Sim";"Rural";19.3923331372102
27;"AL";2700102;"Água Branca";"Masculino";"Amarela";NA;"Rural";10.2037456686499
27;"AL";2700102;"Água Branca";"Masculino";"Branca";"Não";"Rural";352.01398833656
27;"AL";2700102;"Água Branca";"Masculino";"Branca";"Sim";"Rural";776.9261463511
27;"AL";2700102;"Água Branca";"Masculino";"Branca";NA;"Rural";140.636031398634
27;"AL";2700102;"Água Branca";"Masculino";"Indígena";"Não";"Rural";53.8146211799278
27;"AL";2700102;"Água Branca";"Masculino";"Indígena";"Sim";"Rural";47.6405319270772
27;"AL";2700102;"Água Branca";"Masculino";"Indígena";NA;"Rural";24.9894520578199
27;"AL";2700102;"Água Branca";"Masculino";"Parda";"Não";"Rural";1824.22139979764
