"COD_UF";"NO_UF";"COD_MUN";"NO_MUN";"SEXO";"ETNIA";"LE_ESCREVE";"SIT_DOM";"POP"
13;"AM";1300029;"Alvarães";"Feminino";"Amarela";"Não";"Rural";3.1975301135891
13;"AM";1300029;"Alvarães";"Feminino";"Branca";"Não";"Rural";82.6706149746235
13;"AM";1300029;"Alvarães";"Feminino";"Branca";"Sim";"Rural";93.9235202357315
13;"AM";1300029;"Alvarães";"Feminino";"Branca";NA;"Rural";71.7390522314135
13;"AM";1300029;"Alvarães";"Feminino";"Indígena";"Não";"Rural";89.8521497463875
13;"AM";1300029;"Alvarães";"Feminino";"Indígena";"Sim";"Rural";261.535848479236
13;"AM";1300029;"Alvarães";"Feminino";"Indígena";NA;"Rural";70.8283630831649
13;"AM";1300029;"Alvarães";"Feminino";"Parda";"Não";"Rural";1009.86831571371
13;"AM";1300029;"Alvarães";"Feminino";"Parda";"Sim";"Rural";717.280227130188
13;"AM";1300029;"Alvarães";"Feminino";"Parda";NA;"Rural";447.117741077931
13;"AM";1300029;"Alvarães";"Feminino";"Preta";"Sim";"Rural";4.9866372140377
13;"AM";1300029;"Alvarães";"Masculino";"Amarela";"Não";"Rural";5.3025944158489
13;"AM";1300029;"Alvarães";"Masculino";"Amarela";"Sim";"Rural";7.0712976887765
13;"AM";1300029;"Alvarães";"Masculino";"Amarela";NA;"Rural";4.1525565759284
13;"AM";1300029;"Alvarães";"Masculino";"Branca";"Não";"Rural";86.697886551671
13;"AM";1300029;"Alvarães";"Masculino";"Branca";"Sim";"Rural";77.6937499052451
13;"AM";1300029;"Alvarães";"Masculino";"Branca";NA;"Rural";54.7241189678023
13;"AM";1300029;"Alvarães";"Masculino";"Indígena";"Não";"Rural";62.2450292778196
13;"AM";1300029;"Alvarães";"Masculino";"Indígena";"Sim";"Rural";377.729813026696
13;"AM";1300029;"Alvarães";"Masculino";"Indígena";NA;"Rural";72.8157446771959
13;"AM";1300029;"Alvarães";"Masculino";"Parda";"Não";"Rural";1184.62840379035
13;"AM";1300029;"Alvarães";"Masculino";"Parda";"Sim";"Rural";865.239116541135
13;"AM";1300029;"Alvarães";"Masculino";"Parda";NA;"Rural";537.045209566296
13;"AM";1300029;"Alvarães";"Masculino";"Preta";"Não";"Rural";7.3475577039589
13;"AM";1300029;"Alvarães";"Masculino";"Preta";"Sim";"Rural";5.306921311289
13;"AM";1300029;"Alvarães";"Feminino";"Amarela";"Não";"Urbana";5.5905639680245
13;"AM";1300029;"Alvarães";"Feminino";"Amarela";"Sim";"Urbana";22.696011837422
13;"AM";1300029;"Alvarães";"Feminino";"Branca";"Não";"Urbana";52.2423384585688
13;"AM";1300029;"Alvarães";"Feminino";"Branca";"Sim";"Urbana";551.758228785165
13;"AM";1300029;"Alvarães";"Feminino";"Branca";NA;"Urbana";48.2644886405872
13;"AM";1300029;"Alvarães";"Feminino";"Indígena";"Não";"Urbana";4.5381672866508
13;"AM";1300029;"Alvarães";"Feminino";"Indígena";"Sim";"Urbana";21.0485423168294
13;"AM";1300029;"Alvarães";"Feminino";"Parda";"Não";"Urbana";400.720942132934
