"COD_UF";"NO_UF";"COD_MUN";"NO_MUN";"SEXO";"ETNIA";"LE_ESCREVE";"SIT_DOM";"POP"
16;"AP";1600055;"Serra do Navio";"Feminino";"Amarela";"Sim";"Rural";2.9574766032309
16;"AP";1600055;"Serra do Navio";"Feminino";"Branca";"Não";"Rural";24.6003214979709
16;"AP";1600055;"Serra do Navio";"Feminino";"Branca";"Sim";"Rural";141.2992467523
16;"AP";1600055;"Serra do Navio";"Feminino";"Branca";NA;"Rural";38.0213325476085
16;"AP";1600055;"Serra do Navio";"Feminino";"Parda";"Não";"Rural";123.556631825883
16;"AP";1600055;"Serra do Navio";"Feminino";"Parda";"Sim";"Rural";410.750924290564
16;"AP";1600055;"Serra do Navio";"Feminino";"Parda";NA;"Rural";77.287083670331
16;"AP";1600055;"Serra do Navio";"Feminino";"Preta";"Não";"Rural";3.8958134695726
16;"AP";1600055;"Serra do Navio";"Feminino";"Preta";"Sim";"Rural";4.631169342538
16;"AP";1600055;"Serra do Navio";"Masculino";"Branca";"Não";"Rural";26.7963293726578
16;"AP";1600055;"Serra do Navio";"Masculino";"Branca";"Sim";"Rural";180.541392672367
16;"AP";1600055;"Serra do Navio";"Masculino";"Branca";NA;"Rural";15.4179760268893
16;"AP";1600055;"Serra do Navio";"Masculino";"Parda";"Não";"Rural";125.291426138158
16;"AP";1600055;"Serra do Navio";"Masculino";"Parda";"Sim";"Rural";538.003518335802
16;"AP";1600055;"Serra do Navio";"Masculino";"Parda";NA;"Rural";80.5536201257787
16;"AP";1600055;"Serra do Navio";"Masculino";"Preta";"Não";"Rural";2.5371743070055
16;"AP";1600055;"Serra do Navio";"Masculino";"Preta";"Sim";"Rural";8.8585630213404
16;"AP";1600055;"Serra do Navio";"Feminino";"Branca";"Não";"Urbana";9.9486867059196
16;"AP";1600055;"Serra do Navio";"Feminino";"Branca";"Sim";"Urbana";286.774215108461
16;"AP";1600055;"Serra do Navio";"Feminino";"Branca";NA;"Urbana";42.4040986220283
16;"AP";1600055;"Serra do Navio";"Feminino";"Parda";"Não";"Urbana";57.1105098104195
16;"AP";1600055;"Serra do Navio";"Feminino";"Parda";"Sim";"Urbana";668.87711826848
16;"AP";1600055;"Serra do Navio";"Feminino";"Parda";NA;"Urbana";89.9160112464095
16;"AP";1600055;"Serra do Navio";"Feminino";"Preta";"Não";"Urbana";2.5274024362724
16;"AP";1600055;"Serra do Navio";"Feminino";"Preta";"Sim";"Urbana";59.4288757255746
16;"AP";1600055;"Serra do Navio";"Feminino";"Preta";NA;"Urbana";3.0130820764309
16;"AP";1600055;"Serra do Navio";"Masculino";"Branca";"Não";"Urbana";29.3282440913047
16;"AP";1600055;"Serra do Navio";"Masculino";"Branca";"Sim";"Urbana";234.984299162913
16;"AP";1600055;"Serra do Navio";"Masculino";"Branca";NA;"Urbana";58.6992223106699
16;"AP";1600055;"Serra do Navio";"Masculino";"Parda";"Não";"Urbana";63.8007883017687
16;"AP";1600055;"Serra do Navio";"Masculino";"Parda";"Sim";"Urbana";785.292869003277
16;"AP";1600055;"Serra do Navio";"Masculino";"Parda";NA;"Urbana";72.3972839791269
16;"AP";1600055;"Serra do Navio";"Masculino";"Preta";"Não";"Urbana";18.690525550148
16;"AP";1600055;"Serra do Navio";"Masculino";"Preta";"Sim";"Urbana";89.0461220935585
16;"AP";1600055;"Serra do Navio";"Masculino";"Preta";NA;"Urbana";2.760645507232
16;"AP";1600105;"Amapá";"Feminino";"Branca";"Não";"Rural";4.8848025664985
16;"AP";1600105;"Amapá";"Feminino";"Branca";"Sim";"Rural";28.1435569881487
16;"AP";1600105;"Amapá";"Feminino";"Branca";NA;"Rural";3.0144648684512
16;"AP";1600105;"Amapá";"Feminino";"Parda";"Não";"Rural";31.8269578406635
16;"AP";1600105;"Amapá";"Feminino";"Parda";"Sim";"Rural";363.209548230481
16;"AP";1600105;"Amapá";"Feminino";"Parda";NA;"Rural";39.6640430807718
16;"AP";1600105;"Amapá";"Feminino";"Preta";"Sim";"Rural";9.2566264249863
16;"AP";1600105;"Amapá";"Masculino";"Amarela";"Sim";"Rural";3.5270633593882
16;"AP";1600105;"Amapá";"Masculino";"Branca";"Não";"Rural";16.4359509272093
16;"AP";1600105;"Amapá";"Masculino";"Branca";"Sim";"Rural";55.5784060265795
16;"AP";1600105;"Amapá";"Masculino";"Branca";NA;"Rural";2.1793842582036
16;"AP";1600105;"Amapá";"Masculino";"Parda";"Não";"Rural";89.1200184089532
16;"AP";1600105;"Amapá";"Masculino";"Parda";"Sim";"Rural";383.022352340432
16;"AP";1600105;"Amapá";"Masculino";"Parda";NA;"Rural";61.6269039456271
16;"AP";1600105;"Amapá";"Masculino";"Preta";"Não";"Rural";8.6562739841823
16;"AP";1600105;"Amapá";"Masculino";"Preta";"Sim";"Rural";9.8536467494203
16;"AP";1600105;"Amapá";"Feminino";"Branca";"Não";"Urbana";81.9243268861733
16;"AP";1600105;"Amapá";"Feminino";"Branca";"Sim";"Urbana";476.797961355927
16;"AP";1600105;"Amapá";"Feminino";"Branca";NA;"Urbana";106.388304863709
16;"AP";1600105;"Amapá";"Feminino";"Indígena";"Sim";"Urbana";2.8176159194718
16;"AP";1600105;"Amapá";"Feminino";"Parda";"Não";"Urbana";325.583779627402
16;"AP";1600105;"Amapá";"Feminino";"Parda";"Sim";"Urbana";2037.21575815838
16;"AP";1600105;"Amapá";"Feminino";"Parda";NA;"Urbana";227.627754375685
16;"AP";1600105;"Amapá";"Feminino";"Preta";"Não";"Urbana";19.0838866847771
16;"AP";1600105;"Amapá";"Feminino";"Preta";"Sim";"Urbana";92.978875009877
16;"AP";1600105;"Amapá";"Feminino";"Preta";NA;"Urbana";7.5817371185699
16;"AP";1600105;"Amapá";"Masculino";"Branca";"Não";"Urbana";59.6218162296754
16;"AP";1600105;"Amapá";"Masculino";"Branca";"Sim";"Urbana";407.471773224654
16;"AP";1600105;"Amapá";"Masculino";"Branca";NA;"Urbana";78.1471884812919
16;"AP";1600105;"Amapá";"Masculino";"Parda";"Não";"Urbana";392.982145279577
16;"AP";1600105;"Amapá";"Masculino";"Parda";"Sim";"Urbana";2139.03671124103
16;"AP";1600105;"Amapá";"Masculino";"Parda";NA;"Urbana";303.027235467928
16;"AP";1600105;"Amapá";"Masculino";"Preta";"Não";"Urbana";58.6308697119795
16;"AP";1600105;"Amapá";"Masculino";"Preta";"Sim";"Urbana";138.508801913665
16;"AP";1600105;"Amapá";"Masculino";"Preta";NA;"Urbana";3.5734584501778
16;"AP";1600154;"Pedra Branca do Amapari";"Feminino";"Amarela";"Sim";"Rural";7.6855340011113
16;"AP";1600154;"Pedra Branca do Amapari";"Feminino";"Branca";"Não";"Rural";39.4210055022996
16;"AP";1600154;"Pedra Branca do Amapari";"Feminino";"Branca";"Sim";"Rural";132.641436204169
16;"AP";1600154;"Pedra Branca do Amapari";"Feminino";"Branca";NA;"Rural";41.4389344975788
16;"AP";1600154;"Pedra Branca do Amapari";"Feminino";"Indígena";"Não";"Rural";254.971632632376
16;"AP";1600154;"Pedra Branca do Amapari";"Feminino";"Indígena";"Sim";"Rural";86.8827677511447
16;"AP";1600154;"Pedra Branca do Amapari";"Feminino";"Indígena";NA;"Rural";103.205516939986
16;"AP";1600154;"Pedra Branca do Amapari";"Feminino";"Parda";"Não";"Rural";289.469481670297
16;"AP";1600154;"Pedra Branca do Amapari";"Feminino";"Parda";"Sim";"Rural";926.667373368849
16;"AP";1600154;"Pedra Branca do Amapari";"Feminino";"Parda";NA;"Rural";120.733648029656
16;"AP";1600154;"Pedra Branca do Amapari";"Feminino";"Preta";"Não";"Rural";9.6460430927643
16;"AP";1600154;"Pedra Branca do Amapari";"Feminino";"Preta";"Sim";"Rural";54.3151179997592
16;"AP";1600154;"Pedra Branca do Amapari";"Feminino";"Preta";NA;"Rural";12.9215083100118
16;"AP";1600154;"Pedra Branca do Amapari";"Masculino";"Amarela";"Sim";"Rural";7.903026779456
16;"AP";1600154;"Pedra Branca do Amapari";"Masculino";"Branca";"Não";"Rural";79.3646229212506
16;"AP";1600154;"Pedra Branca do Amapari";"Masculino";"Branca";"Sim";"Rural";227.22377454413
16;"AP";1600154;"Pedra Branca do Amapari";"Masculino";"Branca";NA;"Rural";45.7641722447852
16;"AP";1600154;"Pedra Branca do Amapari";"Masculino";"Indígena";"Não";"Rural";224.635660573341
16;"AP";1600154;"Pedra Branca do Amapari";"Masculino";"Indígena";"Sim";"Rural";153.222825862533
16;"AP";1600154;"Pedra Branca do Amapari";"Masculino";"Indígena";NA;"Rural";70.0913388673041
16;"AP";1600154;"Pedra Branca do Amapari";"Masculino";"Parda";"Não";"Rural";435.345350756157
16;"AP";1600154;"Pedra Branca do Amapari";"Masculino";"Parda";"Sim";"Rural";1214.35330161891
16;"AP";1600154;"Pedra Branca do Amapari";"Masculino";"Parda";NA;"Rural";149.56185006717
16;"AP";1600154;"Pedra Branca do Amapari";"Masculino";"Preta";"Não";"Rural";54.2250041533118
16;"AP";1600154;"Pedra Branca do Amapari";"Masculino";"Preta";"Sim";"Rural";53.6020108767879
16;"AP";1600154;"Pedra Branca do Amapari";"Masculino";"Preta";NA;"Rural";13.7070607348659
16;"AP";1600154;"Pedra Branca do Amapari";"Feminino";"Amarela";"Não";"Urbana";5.3940119700063
16;"AP";1600154;"Pedra Branca do Amapari";"Feminino";"Amarela";"Sim";"Urbana";30.5920988580328
16;"AP";1600154;"Pedra Branca do Amapari";"Feminino";"Branca";"Não";"Urbana";60.5852196814996
16;"AP";1600154;"Pedra Branca do Amapari";"Feminino";"Branca";"Sim";"Urbana";426.064691271128
16;"AP";1600154;"Pedra Branca do Amapari";"Feminino";"Branca";NA;"Urbana";82.1483286537764
16;"AP";1600154;"Pedra Branca do Amapari";"Feminino";"Parda";"Não";"Urbana";204.728475097197
16;"AP";1600154;"Pedra Branca do Amapari";"Feminino";"Parda";"Sim";"Urbana";1515.37068576905
16;"AP";1600154;"Pedra Branca do Amapari";"Feminino";"Parda";NA;"Urbana";264.526197241481
16;"AP";1600154;"Pedra Branca do Amapari";"Feminino";"Preta";"Não";"Urbana";34.8697105614901
16;"AP";1600154;"Pedra Branca do Amapari";"Feminino";"Preta";"Sim";"Urbana";169.925279172623
16;"AP";1600154;"Pedra Branca do Amapari";"Feminino";"Preta";NA;"Urbana";31.7953017237209
16;"AP";1600154;"Pedra Branca do Amapari";"Masculino";"Amarela";"Não";"Urbana";4.6399192877564
16;"AP";1600154;"Pedra Branca do Amapari";"Masculino";"Amarela";NA;"Urbana";2.0140952611295
16;"AP";1600154;"Pedra Branca do Amapari";"Masculino";"Branca";"Não";"Urbana";11.2104885272065
16;"AP";1600154;"Pedra Branca do Amapari";"Masculino";"Branca";"Sim";"Urbana";545.23576455098
16;"AP";1600154;"Pedra Branca do Amapari";"Masculino";"Branca";NA;"Urbana";67.9891664040486
16;"AP";1600154;"Pedra Branca do Amapari";"Masculino";"Parda";"Não";"Urbana";221.29169486091
16;"AP";1600154;"Pedra Branca do Amapari";"Masculino";"Parda";"Sim";"Urbana";1682.95431976451
16;"AP";1600154;"Pedra Branca do Amapari";"Masculino";"Parda";NA;"Urbana";305.080677648137
16;"AP";1600154;"Pedra Branca do Amapari";"Masculino";"Preta";"Não";"Urbana";40.3598241674254
16;"AP";1600154;"Pedra Branca do Amapari";"Masculino";"Preta";"Sim";"Urbana";243.31067767739
16;"AP";1600154;"Pedra Branca do Amapari";"Masculino";"Preta";NA;"Urbana";12.9133718505131
16;"AP";1600204;"Calçoene";"Feminino";"Branca";"Sim";"Rural";59.102858243839
16;"AP";1600204;"Calçoene";"Feminino";"Branca";NA;"Rural";12.1625639920015
16;"AP";1600204;"Calçoene";"Feminino";"Parda";"Não";"Rural";137.176920852644
