"COD_UF";"NO_UF";"COD_MUN";"NO_MUN";"SEXO";"ETNIA";"LE_ESCREVE";"SIT_DOM";"POP"
29;"BA";2900108;"Abaíra";"Feminino";"Amarela";"Sim";"Rural";17.5464158751226
29;"BA";2900108;"Abaíra";"Feminino";"Branca";"Não";"Rural";179.328884743083
29;"BA";2900108;"Abaíra";"Feminino";"Branca";"Sim";"Rural";649.817039579372
29;"BA";2900108;"Abaíra";"Feminino";"Branca";NA;"Rural";55.763404367084
29;"BA";2900108;"Abaíra";"Feminino";"Parda";"Não";"Rural";288.356498306377
29;"BA";2900108;"Abaíra";"Feminino";"Parda";"Sim";"Rural";955.358421088336
29;"BA";2900108;"Abaíra";"Feminino";"Parda";NA;"Rural";66.7340580992686
29;"BA";2900108;"Abaíra";"Feminino";"Preta";"Não";"Rural";23.2196775809036
29;"BA";2900108;"Abaíra";"Feminino";"Preta";"Sim";"Rural";49.8756003604574
29;"BA";2900108;"Abaíra";"Masculino";"Amarela";"Sim";"Rural";5.440584947068
29;"BA";2900108;"Abaíra";"Masculino";"Branca";"Não";"Rural";174.752754722247
29;"BA";2900108;"Abaíra";"Masculino";"Branca";"Sim";"Rural";533.215240584895
29;"BA";2900108;"Abaíra";"Masculino";"Branca";NA;"Rural";60.0352497852384
29;"BA";2900108;"Abaíra";"Masculino";"Parda";"Não";"Rural";277.155583199667
29;"BA";2900108;"Abaíra";"Masculino";"Parda";"Sim";"Rural";1070.94858178157
29;"BA";2900108;"Abaíra";"Masculino";"Parda";NA;"Rural";92.5554884418514
29;"BA";2900108;"Abaíra";"Masculino";"Preta";"Não";"Rural";10.0027251480362
29;"BA";2900108;"Abaíra";"Masculino";"Preta";"Sim";"Rural";60.7845163805231
29;"BA";2900108;"Abaíra";"Masculino";"Preta";NA;"Rural";9.1092750089121
29;"BA";2900108;"Abaíra";"Feminino";"Amarela";"Não";"Urbana";6.2352373459696
29;"BA";2900108;"Abaíra";"Feminino";"Amarela";"Sim";"Urbana";11.2303210136784
29;"BA";2900108;"Abaíra";"Feminino";"Branca";"Não";"Urbana";106.856637392254
29;"BA";2900108;"Abaíra";"Feminino";"Branca";"Sim";"Urbana";881.376507354882
29;"BA";2900108;"Abaíra";"Feminino";"Branca";NA;"Urbana";48.4961839538984
29;"BA";2900108;"Abaíra";"Feminino";"Indígena";"Sim";"Urbana";5.5341190077072
29;"BA";2900108;"Abaíra";"Feminino";"Parda";"Não";"Urbana";123.411864257249
29;"BA";2900108;"Abaíra";"Feminino";"Parda";"Sim";"Urbana";635.416988019832
