"COD_UF";"NO_UF";"COD_MUN";"NO_MUN";"SEXO";"ETNIA";"LE_ESCREVE";"SIT_DOM";"POP"
32;"ES";3200102;"Afonso Cláudio";"Feminino";"Amarela";"Sim";"Rural";40.5812930764691
32;"ES";3200102;"Afonso Cláudio";"Feminino";"Amarela";NA;"Rural";8.713657814486
32;"ES";3200102;"Afonso Cláudio";"Feminino";"Branca";"Não";"Rural";512.408787345943
32;"ES";3200102;"Afonso Cláudio";"Feminino";"Branca";"Sim";"Rural";3388.38512504856
32;"ES";3200102;"Afonso Cláudio";"Feminino";"Branca";NA;"Rural";308.933747541622
32;"ES";3200102;"Afonso Cláudio";"Feminino";"Parda";"Não";"Rural";354.012477238115
32;"ES";3200102;"Afonso Cláudio";"Feminino";"Parda";"Sim";"Rural";2087.40089565168
32;"ES";3200102;"Afonso Cláudio";"Feminino";"Parda";NA;"Rural";219.124207131749
32;"ES";3200102;"Afonso Cláudio";"Feminino";"Preta";"Não";"Rural";90.5097319494092
32;"ES";3200102;"Afonso Cláudio";"Feminino";"Preta";"Sim";"Rural";164.660689643502
32;"ES";3200102;"Afonso Cláudio";"Feminino";"Preta";NA;"Rural";11.269387558455
32;"ES";3200102;"Afonso Cláudio";"Masculino";"Amarela";"Não";"Rural";11.4763182384054
32;"ES";3200102;"Afonso Cláudio";"Masculino";"Amarela";"Sim";"Rural";50.6428134925593
32;"ES";3200102;"Afonso Cláudio";"Masculino";"Amarela";NA;"Rural";10.6225450873277
32;"ES";3200102;"Afonso Cláudio";"Masculino";"Branca";"Não";"Rural";571.28541506309
32;"ES";3200102;"Afonso Cláudio";"Masculino";"Branca";"Sim";"Rural";3912.4070205732
32;"ES";3200102;"Afonso Cláudio";"Masculino";"Branca";NA;"Rural";328.915463039723
32;"ES";3200102;"Afonso Cláudio";"Masculino";"Parda";"Não";"Rural";422.394568799807
32;"ES";3200102;"Afonso Cláudio";"Masculino";"Parda";"Sim";"Rural";2150.66967762777
32;"ES";3200102;"Afonso Cláudio";"Masculino";"Parda";NA;"Rural";162.698758773502
32;"ES";3200102;"Afonso Cláudio";"Masculino";"Preta";"Não";"Rural";92.5055196695334
32;"ES";3200102;"Afonso Cláudio";"Masculino";"Preta";"Sim";"Rural";325.11251207663
32;"ES";3200102;"Afonso Cláudio";"Masculino";"Preta";NA;"Rural";11.269387558455
32;"ES";3200102;"Afonso Cláudio";"Feminino";"Amarela";"Não";"Urbana";16.161822927738
32;"ES";3200102;"Afonso Cláudio";"Feminino";"Amarela";"Sim";"Urbana";8.3993954651357
32;"ES";3200102;"Afonso Cláudio";"Feminino";"Amarela";NA;"Urbana";8.4778551871363
32;"ES";3200102;"Afonso Cláudio";"Feminino";"Branca";"Não";"Urbana";365.198352358448
32;"ES";3200102;"Afonso Cláudio";"Feminino";"Branca";"Sim";"Urbana";3485.76767719789
