"COD_UF";"NO_UF";"COD_MUN";"NO_MUN";"SEXO";"ETNIA";"LE_ESCREVE";"SIT_DOM";"POP"
21;"MA";2100055;"Açailândia";"Feminino";"Amarela";"Não";"Rural";35.7012311740303
21;"MA";2100055;"Açailândia";"Feminino";"Amarela";"Sim";"Rural";91.3747712519434
21;"MA";2100055;"Açailândia";"Feminino";"Amarela";NA;"Rural";14.4106669985643
21;"MA";2100055;"Açailândia";"Feminino";"Branca";"Não";"Rural";444.875011895184
21;"MA";2100055;"Açailândia";"Feminino";"Branca";"Sim";"Rural";2198.79870723974
21;"MA";2100055;"Açailândia";"Feminino";"Branca";NA;"Rural";347.714230920517
21;"MA";2100055;"Açailândia";"Feminino";"Indígena";"Não";"Rural";17.9229313027559
21;"MA";2100055;"Açailândia";"Feminino";"Indígena";"Sim";"Rural";18.3405758216606
21;"MA";2100055;"Açailândia";"Feminino";"Parda";"Não";"Rural";1579.15294015229
21;"MA";2100055;"Açailândia";"Feminino";"Parda";"Sim";"Rural";5674.59758364059
21;"MA";2100055;"Açailândia";"Feminino";"Parda";NA;"Rural";1035.02627148883
21;"MA";2100055;"Açailândia";"Feminino";"Preta";"Não";"Rural";244.521458652808
21;"MA";2100055;"Açailândia";"Feminino";"Preta";"Sim";"Rural";462.647486533338
21;"MA";2100055;"Açailândia";"Feminino";"Preta";NA;"Rural";100.916132927837
21;"MA";2100055;"Açailândia";"Masculino";"Amarela";"Não";"Rural";19.9135686672045
21;"MA";2100055;"Açailândia";"Masculino";"Amarela";"Sim";"Rural";119.23942586305
21;"MA";2100055;"Açailândia";"Masculino";"Branca";"Não";"Rural";669.97424627482
21;"MA";2100055;"Açailândia";"Masculino";"Branca";"Sim";"Rural";2100.04317736489
21;"MA";2100055;"Açailândia";"Masculino";"Branca";NA;"Rural";324.557415325885
21;"MA";2100055;"Açailândia";"Masculino";"Indígena";"Não";"Rural";11.6406051179196
21;"MA";2100055;"Açailândia";"Masculino";"Indígena";"Sim";"Rural";30.3521483041028
21;"MA";2100055;"Açailândia";"Masculino";"Parda";"Não";"Rural";2068.71899629345
21;"MA";2100055;"Açailândia";"Masculino";"Parda";"Sim";"Rural";5972.03165837329
21;"MA";2100055;"Açailândia";"Masculino";"Parda";NA;"Rural";948.033756872069
21;"MA";2100055;"Açailândia";"Masculino";"Preta";"Não";"Rural";458.032538541752
21;"MA";2100055;"Açailândia";"Masculino";"Preta";"Sim";"Rural";755.22826360306
21;"MA";2100055;"Açailândia";"Masculino";"Preta";NA;"Rural";66.234199398621
21;"MA";2100055;"Açailândia";"Feminino";"Amarela";"Não";"Urbana";42.4411713416992
21;"MA";2100055;"Açailândia";"Feminino";"Amarela";"Sim";"Urbana";239.284277522827
21;"MA";2100055;"Açailândia";"Feminino";"Amarela";NA;"Urbana";22.6069120078317
21;"MA";2100055;"Açailândia";"Feminino";"Branca";"Não";"Urbana";1145.96263089641
21;"MA";2100055;"Açailândia";"Feminino";"Branca";"Sim";"Urbana";8708.32322786672
21;"MA";2100055;"Açailândia";"Feminino";"Branca";NA;"Urbana";877.333039951827
21;"MA";2100055;"Açailândia";"Feminino";"Indígena";"Sim";"Urbana";53.6705273560656
21;"MA";2100055;"Açailândia";"Feminino";"Parda";"Não";"Urbana";3935.55355503953
21;"MA";2100055;"Açailândia";"Feminino";"Parda";"Sim";"Urbana";19257.093679866
21;"MA";2100055;"Açailândia";"Feminino";"Parda";NA;"Urbana";2345.11397264856
21;"MA";2100055;"Açailândia";"Feminino";"Preta";"Não";"Urbana";723.177969737354
21;"MA";2100055;"Açailândia";"Feminino";"Preta";"Sim";"Urbana";2141.63145420571
21;"MA";2100055;"Açailândia";"Feminino";"Preta";NA;"Urbana";173.807581559668
21;"MA";2100055;"Açailândia";"Masculino";"Amarela";"Não";"Urbana";32.2745900756501
21;"MA";2100055;"Açailândia";"Masculino";"Amarela";"Sim";"Urbana";264.993932026297
21;"MA";2100055;"Açailândia";"Masculino";"Amarela";NA;"Urbana";16.1426995703842
21;"MA";2100055;"Açailândia";"Masculino";"Branca";"Não";"Urbana";1035.04147995503
21;"MA";2100055;"Açailândia";"Masculino";"Branca";"Sim";"Urbana";8405.66312136252
21;"MA";2100055;"Açailândia";"Masculino";"Branca";NA;"Urbana";903.974050939143
21;"MA";2100055;"Açailândia";"Masculino";"Indígena";"Não";"Urbana";21.7248382359485
21;"MA";2100055;"Açailândia";"Masculino";"Indígena";"Sim";"Urbana";39.6920565125129
21;"MA";2100055;"Açailândia";"Masculino";"Parda";"Não";"Urbana";3935.89581572403
21;"MA";2100055;"Açailândia";"Masculino";"Parda";"Sim";"Urbana";18036.5292985796
21;"MA";2100055;"Açailândia";"Masculino";"Parda";NA;"Urbana";2713.29875037267
21;"MA";2100055;"Açailândia";"Masculino";"Preta";"Não";"Urbana";810.566457634742
21;"MA";2100055;"Açailândia";"Masculino";"Preta";"Sim";"Urbana";2200.6235228165
21;"MA";2100055;"Açailândia";"Masculino";"Preta";NA;"Urbana";154.579386195144
21;"MA";2100105;"Afonso Cunha";"Feminino";"Amarela";"Não";"Rural";3.1954843715134
21;"MA";2100105;"Afonso Cunha";"Feminino";"Amarela";"Sim";"Rural";6.7248442333119
21;"MA";2100105;"Afonso Cunha";"Feminino";"Branca";"Não";"Rural";56.2595267807674
21;"MA";2100105;"Afonso Cunha";"Feminino";"Branca";"Sim";"Rural";73.0907369045269
21;"MA";2100105;"Afonso Cunha";"Feminino";"Branca";NA;"Rural";9.307558980777
21;"MA";2100105;"Afonso Cunha";"Feminino";"Parda";"Não";"Rural";348.770797479709
21;"MA";2100105;"Afonso Cunha";"Feminino";"Parda";"Sim";"Rural";559.812445584546
21;"MA";2100105;"Afonso Cunha";"Feminino";"Parda";NA;"Rural";146.888743661748
21;"MA";2100105;"Afonso Cunha";"Feminino";"Preta";"Não";"Rural";32.7819587581321
21;"MA";2100105;"Afonso Cunha";"Feminino";"Preta";"Sim";"Rural";33.1094387157345
21;"MA";2100105;"Afonso Cunha";"Feminino";"Preta";NA;"Rural";14.058464529236
21;"MA";2100105;"Afonso Cunha";"Masculino";"Amarela";"Não";"Rural";9.4324107181638
21;"MA";2100105;"Afonso Cunha";"Masculino";"Amarela";"Sim";"Rural";10.678167865885
21;"MA";2100105;"Afonso Cunha";"Masculino";"Amarela";NA;"Rural";9.9203286048253
21;"MA";2100105;"Afonso Cunha";"Masculino";"Branca";"Não";"Rural";44.5887842747178
21;"MA";2100105;"Afonso Cunha";"Masculino";"Branca";"Sim";"Rural";87.1344946110246
21;"MA";2100105;"Afonso Cunha";"Masculino";"Branca";NA;"Rural";21.5744834792621
21;"MA";2100105;"Afonso Cunha";"Masculino";"Parda";"Não";"Rural";459.700024443368
21;"MA";2100105;"Afonso Cunha";"Masculino";"Parda";"Sim";"Rural";506.650240551753
21;"MA";2100105;"Afonso Cunha";"Masculino";"Parda";NA;"Rural";160.542591668458
21;"MA";2100105;"Afonso Cunha";"Masculino";"Preta";"Não";"Rural";44.6169128441895
21;"MA";2100105;"Afonso Cunha";"Masculino";"Preta";"Sim";"Rural";32.1615609383574
21;"MA";2100105;"Afonso Cunha";"Feminino";"Amarela";"Não";"Urbana";11.9898250514105
21;"MA";2100105;"Afonso Cunha";"Feminino";"Amarela";"Sim";"Urbana";29.9910522538279
21;"MA";2100105;"Afonso Cunha";"Feminino";"Amarela";NA;"Urbana";1.4835666496208
21;"MA";2100105;"Afonso Cunha";"Feminino";"Branca";"Não";"Urbana";38.8629078256392
21;"MA";2100105;"Afonso Cunha";"Feminino";"Branca";"Sim";"Urbana";151.014627729433
21;"MA";2100105;"Afonso Cunha";"Feminino";"Branca";NA;"Urbana";35.5955107629206
21;"MA";2100105;"Afonso Cunha";"Feminino";"Parda";"Não";"Urbana";288.326690600656
21;"MA";2100105;"Afonso Cunha";"Feminino";"Parda";"Sim";"Urbana";851.880755022267
21;"MA";2100105;"Afonso Cunha";"Feminino";"Parda";NA;"Urbana";127.858751146713
21;"MA";2100105;"Afonso Cunha";"Feminino";"Preta";"Não";"Urbana";48.3075634170721
21;"MA";2100105;"Afonso Cunha";"Feminino";"Preta";"Sim";"Urbana";53.5196914985011
21;"MA";2100105;"Afonso Cunha";"Feminino";"Preta";NA;"Urbana";10.1690580419405
21;"MA";2100105;"Afonso Cunha";"Masculino";"Amarela";"Não";"Urbana";9.7295474177162
21;"MA";2100105;"Afonso Cunha";"Masculino";"Amarela";"Sim";"Urbana";23.0187751541352
21;"MA";2100105;"Afonso Cunha";"Masculino";"Amarela";NA;"Urbana";2.2844601604379
21;"MA";2100105;"Afonso Cunha";"Masculino";"Branca";"Não";"Urbana";16.5577294376524
21;"MA";2100105;"Afonso Cunha";"Masculino";"Branca";"Sim";"Urbana";114.606896498473
21;"MA";2100105;"Afonso Cunha";"Masculino";"Branca";NA;"Urbana";23.6726478342655
21;"MA";2100105;"Afonso Cunha";"Masculino";"Parda";"Não";"Urbana";304.324645811176
21;"MA";2100105;"Afonso Cunha";"Masculino";"Parda";"Sim";"Urbana";810.789027208519
21;"MA";2100105;"Afonso Cunha";"Masculino";"Parda";NA;"Urbana";154.54104717249
21;"MA";2100105;"Afonso Cunha";"Masculino";"Preta";"Não";"Urbana";45.6685085313226
21;"MA";2100105;"Afonso Cunha";"Masculino";"Preta";"Sim";"Urbana";72.1900015653876
21;"MA";2100105;"Afonso Cunha";"Masculino";"Preta";NA;"Urbana";7.616713208427
21;"MA";2100154;"Água Doce do Maranhão";"Feminino";"Amarela";"Sim";"Rural";10.6631835970934
21;"MA";2100154;"Água Doce do Maranhão";"Feminino";"Branca";"Não";"Rural";288.293320488116
21;"MA";2100154;"Água Doce do Maranhão";"Feminino";"Branca";"Sim";"Rural";512.307415657918
21;"MA";2100154;"Água Doce do Maranhão";"Feminino";"Branca";NA;"Rural";111.218100921705
21;"MA";2100154;"Água Doce do Maranhão";"Feminino";"Parda";"Não";"Rural";836.88965601469
21;"MA";2100154;"Água Doce do Maranhão";"Feminino";"Parda";"Sim";"Rural";1925.87464553974
21;"MA";2100154;"Água Doce do Maranhão";"Feminino";"Parda";NA;"Rural";282.911781296026
21;"MA";2100154;"Água Doce do Maranhão";"Feminino";"Preta";"Não";"Rural";21.3554937106784
21;"MA";2100154;"Água Doce do Maranhão";"Feminino";"Preta";"Sim";"Rural";14.4864027740383
21;"MA";2100154;"Água Doce do Maranhão";"Masculino";"Amarela";"Sim";"Rural";7.0965418672288
21;"MA";2100154;"Água Doce do Maranhão";"Masculino";"Branca";"Não";"Rural";374.179773168207
