"COD_UF";"NO_UF";"COD_MUN";"NO_MUN";"SEXO";"ETNIA";"LE_ESCREVE";"SIT_DOM";"POP"
31;"MG";3100104;"Abadia dos Dourados";"Feminino";"Amarela";"Sim";"Rural";3.1789588730559
31;"MG";3100104;"Abadia dos Dourados";"Feminino";"Branca";"Não";"Rural";50.7902929470919
31;"MG";3100104;"Abadia dos Dourados";"Feminino";"Branca";"Sim";"Rural";779.778577873793
31;"MG";3100104;"Abadia dos Dourados";"Feminino";"Branca";NA;"Rural";47.2281354436888
31;"MG";3100104;"Abadia dos Dourados";"Feminino";"Parda";"Não";"Rural";15.7298696310096
31;"MG";3100104;"Abadia dos Dourados";"Feminino";"Parda";"Sim";"Rural";201.514175263303
31;"MG";3100104;"Abadia dos Dourados";"Feminino";"Parda";NA;"Rural";25.334351939161
31;"MG";3100104;"Abadia dos Dourados";"Feminino";"Preta";"Não";"Rural";2.8423820208413
31;"MG";3100104;"Abadia dos Dourados";"Feminino";"Preta";"Sim";"Rural";20.6032560080647
31;"MG";3100104;"Abadia dos Dourados";"Masculino";"Amarela";"Não";"Rural";3.1194601751417
31;"MG";3100104;"Abadia dos Dourados";"Masculino";"Amarela";"Sim";"Rural";5.5085186456619
31;"MG";3100104;"Abadia dos Dourados";"Masculino";"Branca";"Não";"Rural";72.234847472284
31;"MG";3100104;"Abadia dos Dourados";"Masculino";"Branca";"Sim";"Rural";889.095736049273
31;"MG";3100104;"Abadia dos Dourados";"Masculino";"Branca";NA;"Rural";73.112664193232
31;"MG";3100104;"Abadia dos Dourados";"Masculino";"Parda";"Não";"Rural";13.9526510676179
31;"MG";3100104;"Abadia dos Dourados";"Masculino";"Parda";"Sim";"Rural";293.484641518107
31;"MG";3100104;"Abadia dos Dourados";"Masculino";"Parda";NA;"Rural";8.3099187292695
31;"MG";3100104;"Abadia dos Dourados";"Masculino";"Preta";"Não";"Rural";3.1194601751417
31;"MG";3100104;"Abadia dos Dourados";"Masculino";"Preta";"Sim";"Rural";6.0621019742816
31;"MG";3100104;"Abadia dos Dourados";"Feminino";"Amarela";"Não";"Urbana";3.6525838795795
31;"MG";3100104;"Abadia dos Dourados";"Feminino";"Amarela";"Sim";"Urbana";13.3120995263588
31;"MG";3100104;"Abadia dos Dourados";"Feminino";"Branca";"Não";"Urbana";101.169721652441
