"COD_UF";"NO_UF";"COD_MUN";"NO_MUN";"SEXO";"ETNIA";"LE_ESCREVE";"SIT_DOM";"POP"
50;"MS";5000203;"Água Clara";"Feminino";"Branca";"Não";"Rural";71.046861845792
50;"MS";5000203;"Água Clara";"Feminino";"Branca";"Sim";"Rural";766.053402337996
50;"MS";5000203;"Água Clara";"Feminino";"Branca";NA;"Rural";166.117940632213
50;"MS";5000203;"Água Clara";"Feminino";"Parda";"Não";"Rural";139.692185205678
50;"MS";5000203;"Água Clara";"Feminino";"Parda";"Sim";"Rural";782.551132438772
50;"MS";5000203;"Água Clara";"Feminino";"Parda";NA;"Rural";94.3457486412956
50;"MS";5000203;"Água Clara";"Feminino";"Preta";"Não";"Rural";37.8209258030849
50;"MS";5000203;"Água Clara";"Feminino";"Preta";"Sim";"Rural";60.7670189506423
50;"MS";5000203;"Água Clara";"Feminino";"Preta";NA;"Rural";11.6047841445257
50;"MS";5000203;"Água Clara";"Masculino";"Amarela";"Sim";"Rural";12.3560357298924
50;"MS";5000203;"Água Clara";"Masculino";"Branca";"Não";"Rural";87.947534207629
50;"MS";5000203;"Água Clara";"Masculino";"Branca";"Sim";"Rural";983.967006995865
50;"MS";5000203;"Água Clara";"Masculino";"Branca";NA;"Rural";131.134457236453
50;"MS";5000203;"Água Clara";"Masculino";"Parda";"Não";"Rural";125.857740822478
50;"MS";5000203;"Água Clara";"Masculino";"Parda";"Sim";"Rural";1060.55304168085
50;"MS";5000203;"Água Clara";"Masculino";"Parda";NA;"Rural";132.269388633789
50;"MS";5000203;"Água Clara";"Masculino";"Preta";"Não";"Rural";21.2431926930535
50;"MS";5000203;"Água Clara";"Masculino";"Preta";"Sim";"Rural";135.64970553098
50;"MS";5000203;"Água Clara";"Masculino";"Preta";NA;"Rural";5.0218964690133
50;"MS";5000203;"Água Clara";"Feminino";"Amarela";"Sim";"Urbana";101.416410163041
50;"MS";5000203;"Água Clara";"Feminino";"Amarela";NA;"Urbana";3.3652182359829
50;"MS";5000203;"Água Clara";"Feminino";"Branca";"Não";"Urbana";134.775642471826
50;"MS";5000203;"Água Clara";"Feminino";"Branca";"Sim";"Urbana";1548.89585777559
50;"MS";5000203;"Água Clara";"Feminino";"Branca";NA;"Urbana";114.323317921778
50;"MS";5000203;"Água Clara";"Feminino";"Indígena";"Sim";"Urbana";13.6093143320439
50;"MS";5000203;"Água Clara";"Feminino";"Parda";"Não";"Urbana";170.349851412749
50;"MS";5000203;"Água Clara";"Feminino";"Parda";"Sim";"Urbana";1993.16798188461
50;"MS";5000203;"Água Clara";"Feminino";"Parda";NA;"Urbana";242.670249248476
50;"MS";5000203;"Água Clara";"Feminino";"Preta";"Não";"Urbana";56.1656158650366
50;"MS";5000203;"Água Clara";"Feminino";"Preta";"Sim";"Urbana";355.97167515112
50;"MS";5000203;"Água Clara";"Feminino";"Preta";NA;"Urbana";14.2888655377519
50;"MS";5000203;"Água Clara";"Masculino";"Amarela";"Não";"Urbana";16.023983419393
50;"MS";5000203;"Água Clara";"Masculino";"Amarela";"Sim";"Urbana";82.9333991385082
50;"MS";5000203;"Água Clara";"Masculino";"Amarela";NA;"Urbana";8.8842973271996
50;"MS";5000203;"Água Clara";"Masculino";"Branca";"Não";"Urbana";149.784261282187
50;"MS";5000203;"Água Clara";"Masculino";"Branca";"Sim";"Urbana";1587.15613484233
50;"MS";5000203;"Água Clara";"Masculino";"Branca";NA;"Urbana";161.107981707022
50;"MS";5000203;"Água Clara";"Masculino";"Indígena";"Sim";"Urbana";9.287033725434
50;"MS";5000203;"Água Clara";"Masculino";"Parda";"Não";"Urbana";162.059462176775
50;"MS";5000203;"Água Clara";"Masculino";"Parda";"Sim";"Urbana";1889.46057011933
50;"MS";5000203;"Água Clara";"Masculino";"Parda";NA;"Urbana";250.287202362118
