"COD_UF";"NO_UF";"COD_MUN";"NO_MUN";"SEXO";"ETNIA";"LE_ESCREVE";"SIT_DOM";"POP"
15;"PA";1500107;"Abaetetuba";"Feminino";"Amarela";"Não";"Rural";40.5671476419978
15;"PA";1500107;"Abaetetuba";"Feminino";"Amarela";"Sim";"Rural";160.233798537721
15;"PA";1500107;"Abaetetuba";"Feminino";"Branca";"Não";"Rural";789.639080817356
15;"PA";1500107;"Abaetetuba";"Feminino";"Branca";"Sim";"Rural";3270.89346069852
15;"PA";1500107;"Abaetetuba";"Feminino";"Branca";NA;"Rural";712.833180846757
15;"PA";1500107;"Abaetetuba";"Feminino";"Parda";"Não";"Rural";3855.26521248054
15;"PA";1500107;"Abaetetuba";"Feminino";"Parda";"Sim";"Rural";14417.065118212
15;"PA";1500107;"Abaetetuba";"Feminino";"Parda";NA;"Rural";2048.7263751897
15;"PA";1500107;"Abaetetuba";"Feminino";"Preta";"Não";"Rural";514.98483045996
15;"PA";1500107;"Abaetetuba";"Feminino";"Preta";"Sim";"Rural";1436.03595411244
15;"PA";1500107;"Abaetetuba";"Feminino";"Preta";NA;"Rural";168.755841002833
15;"PA";1500107;"Abaetetuba";"Masculino";"Amarela";"Não";"Rural";53.4315158992575
15;"PA";1500107;"Abaetetuba";"Masculino";"Amarela";"Sim";"Rural";78.0324591116062
15;"PA";1500107;"Abaetetuba";"Masculino";"Amarela";NA;"Rural";9.112680300804
15;"PA";1500107;"Abaetetuba";"Masculino";"Branca";"Não";"Rural";923.618918486237
15;"PA";1500107;"Abaetetuba";"Masculino";"Branca";"Sim";"Rural";3017.60177494076
15;"PA";1500107;"Abaetetuba";"Masculino";"Branca";NA;"Rural";650.308845878653
15;"PA";1500107;"Abaetetuba";"Masculino";"Parda";"Não";"Rural";4971.45396330172
15;"PA";1500107;"Abaetetuba";"Masculino";"Parda";"Sim";"Rural";16117.4834423573
15;"PA";1500107;"Abaetetuba";"Masculino";"Parda";NA;"Rural";2257.81577514617
15;"PA";1500107;"Abaetetuba";"Masculino";"Preta";"Não";"Rural";498.004990607469
15;"PA";1500107;"Abaetetuba";"Masculino";"Preta";"Sim";"Rural";1930.47430772232
15;"PA";1500107;"Abaetetuba";"Masculino";"Preta";NA;"Rural";179.661326247473
15;"PA";1500107;"Abaetetuba";"Feminino";"Amarela";"Não";"Urbana";33.0816457784267
15;"PA";1500107;"Abaetetuba";"Feminino";"Amarela";"Sim";"Urbana";207.452523210234
15;"PA";1500107;"Abaetetuba";"Feminino";"Amarela";NA;"Urbana";9.8008487935706
15;"PA";1500107;"Abaetetuba";"Feminino";"Branca";"Não";"Urbana";1045.24294295365
15;"PA";1500107;"Abaetetuba";"Feminino";"Branca";"Sim";"Urbana";8705.8730372553
15;"PA";1500107;"Abaetetuba";"Feminino";"Branca";NA;"Urbana";1201.08190506504
15;"PA";1500107;"Abaetetuba";"Feminino";"Indígena";"Sim";"Urbana";75.9392892033852
15;"PA";1500107;"Abaetetuba";"Feminino";"Indígena";NA;"Urbana";7.9653431343263
15;"PA";1500107;"Abaetetuba";"Feminino";"Parda";"Não";"Urbana";2666.74656221355
