"COD_UF";"NO_UF";"COD_MUN";"NO_MUN";"SEXO";"ETNIA";"LE_ESCREVE";"SIT_DOM";"POP"
25;"PB";2500106;"Água Branca";"Feminino";"Amarela";"Não";"Rural";19.1866970998443
25;"PB";2500106;"Água Branca";"Feminino";"Amarela";"Sim";"Rural";45.9456596671351
25;"PB";2500106;"Água Branca";"Feminino";"Amarela";NA;"Rural";4.2976389987638
25;"PB";2500106;"Água Branca";"Feminino";"Branca";"Não";"Rural";210.216682385351
25;"PB";2500106;"Água Branca";"Feminino";"Branca";"Sim";"Rural";635.047182568523
25;"PB";2500106;"Água Branca";"Feminino";"Branca";NA;"Rural";89.2861903259627
25;"PB";2500106;"Água Branca";"Feminino";"Parda";"Não";"Rural";384.127132217335
25;"PB";2500106;"Água Branca";"Feminino";"Parda";"Sim";"Rural";1071.41765196099
25;"PB";2500106;"Água Branca";"Feminino";"Parda";NA;"Rural";114.984728308455
25;"PB";2500106;"Água Branca";"Feminino";"Preta";"Não";"Rural";32.5234091117688
25;"PB";2500106;"Água Branca";"Feminino";"Preta";"Sim";"Rural";12.9670273558635
25;"PB";2500106;"Água Branca";"Masculino";"Amarela";"Não";"Rural";4.6336162117781
25;"PB";2500106;"Água Branca";"Masculino";"Amarela";"Sim";"Rural";20.0312931270751
25;"PB";2500106;"Água Branca";"Masculino";"Branca";"Não";"Rural";226.976058910914
25;"PB";2500106;"Água Branca";"Masculino";"Branca";"Sim";"Rural";536.951020328284
25;"PB";2500106;"Água Branca";"Masculino";"Branca";NA;"Rural";87.576820355187
25;"PB";2500106;"Água Branca";"Masculino";"Indígena";"Sim";"Rural";5.641337490373
25;"PB";2500106;"Água Branca";"Masculino";"Parda";"Não";"Rural";546.86377530584
25;"PB";2500106;"Água Branca";"Masculino";"Parda";"Sim";"Rural";1187.67619324527
25;"PB";2500106;"Água Branca";"Masculino";"Parda";NA;"Rural";106.684944985342
25;"PB";2500106;"Água Branca";"Masculino";"Preta";"Não";"Rural";17.830642155025
25;"PB";2500106;"Água Branca";"Masculino";"Preta";"Sim";"Rural";27.1342978849045
25;"PB";2500106;"Água Branca";"Feminino";"Amarela";"Sim";"Urbana";21.2621555415667
25;"PB";2500106;"Água Branca";"Feminino";"Amarela";NA;"Urbana";4.0453667969113
25;"PB";2500106;"Água Branca";"Feminino";"Branca";"Não";"Urbana";168.623537174728
25;"PB";2500106;"Água Branca";"Feminino";"Branca";"Sim";"Urbana";727.256512731926
25;"PB";2500106;"Água Branca";"Feminino";"Branca";NA;"Urbana";52.4743158558113
25;"PB";2500106;"Água Branca";"Feminino";"Parda";"Não";"Urbana";158.336931325943
25;"PB";2500106;"Água Branca";"Feminino";"Parda";"Sim";"Urbana";879.12646543571
25;"PB";2500106;"Água Branca";"Feminino";"Parda";NA;"Urbana";73.3995851679836
25;"PB";2500106;"Água Branca";"Feminino";"Preta";"Não";"Urbana";4.262603326202
25;"PB";2500106;"Água Branca";"Feminino";"Preta";"Sim";"Urbana";21.2125266432093
25;"PB";2500106;"Água Branca";"Masculino";"Amarela";"Sim";"Urbana";12.7617305187874
25;"PB";2500106;"Água Branca";"Masculino";"Branca";"Não";"Urbana";160.450357731174
25;"PB";2500106;"Água Branca";"Masculino";"Branca";"Sim";"Urbana";500.899939914144
25;"PB";2500106;"Água Branca";"Masculino";"Branca";NA;"Urbana";113.175745305086
25;"PB";2500106;"Água Branca";"Masculino";"Indígena";"Sim";"Urbana";5.1291134012317
25;"PB";2500106;"Água Branca";"Masculino";"Parda";"Não";"Urbana";262.546135712765
25;"PB";2500106;"Água Branca";"Masculino";"Parda";"Sim";"Urbana";775.88324135983
25;"PB";2500106;"Água Branca";"Masculino";"Parda";NA;"Urbana";84.0278688647141
25;"PB";2500106;"Água Branca";"Masculino";"Preta";"Não";"Urbana";24.52175970745
25;"PB";2500106;"Água Branca";"Masculino";"Preta";"Sim";"Urbana";11.6041074848082
25;"PB";2500205;"Aguiar";"Feminino";"Amarela";"Não";"Rural";6.0137625867934
25;"PB";2500205;"Aguiar";"Feminino";"Amarela";"Sim";"Rural";2.4383884312186
25;"PB";2500205;"Aguiar";"Feminino";"Amarela";NA;"Rural";7.4139516185912
25;"PB";2500205;"Aguiar";"Feminino";"Branca";"Não";"Rural";166.527872462912
25;"PB";2500205;"Aguiar";"Feminino";"Branca";"Sim";"Rural";384.167760859364
25;"PB";2500205;"Aguiar";"Feminino";"Branca";NA;"Rural";64.8201238439948
25;"PB";2500205;"Aguiar";"Feminino";"Parda";"Não";"Rural";245.563328701945
25;"PB";2500205;"Aguiar";"Feminino";"Parda";"Sim";"Rural";463.406721197022
25;"PB";2500205;"Aguiar";"Feminino";"Parda";NA;"Rural";48.3380183499346
25;"PB";2500205;"Aguiar";"Feminino";"Preta";"Não";"Rural";4.7588753106998
25;"PB";2500205;"Aguiar";"Feminino";"Preta";"Sim";"Rural";4.5511966375253
25;"PB";2500205;"Aguiar";"Masculino";"Amarela";"Não";"Rural";5.7461087456371
25;"PB";2500205;"Aguiar";"Masculino";"Amarela";NA;"Rural";2.4383884312186
25;"PB";2500205;"Aguiar";"Masculino";"Branca";"Não";"Rural";207.992733805083
25;"PB";2500205;"Aguiar";"Masculino";"Branca";"Sim";"Rural";277.799653208851
25;"PB";2500205;"Aguiar";"Masculino";"Branca";NA;"Rural";40.5208267258725
25;"PB";2500205;"Aguiar";"Masculino";"Parda";"Não";"Rural";435.890825754894
25;"PB";2500205;"Aguiar";"Masculino";"Parda";"Sim";"Rural";405.218677351167
25;"PB";2500205;"Aguiar";"Masculino";"Parda";NA;"Rural";41.3284991221412
25;"PB";2500205;"Aguiar";"Masculino";"Preta";"Não";"Rural";1.5677398550561
25;"PB";2500205;"Aguiar";"Masculino";"Preta";"Sim";"Rural";12.4965470000797
25;"PB";2500205;"Aguiar";"Feminino";"Branca";"Não";"Urbana";171.231799528658
25;"PB";2500205;"Aguiar";"Feminino";"Branca";"Sim";"Urbana";443.692281222509
25;"PB";2500205;"Aguiar";"Feminino";"Branca";NA;"Urbana";51.9191090823178
25;"PB";2500205;"Aguiar";"Feminino";"Parda";"Não";"Urbana";208.195604687926
25;"PB";2500205;"Aguiar";"Feminino";"Parda";"Sim";"Urbana";479.247594232587
25;"PB";2500205;"Aguiar";"Feminino";"Parda";NA;"Urbana";46.2034248308878
25;"PB";2500205;"Aguiar";"Feminino";"Preta";"Não";"Urbana";15.6482547110731
25;"PB";2500205;"Aguiar";"Feminino";"Preta";"Sim";"Urbana";9.8619317040466
25;"PB";2500205;"Aguiar";"Masculino";"Branca";"Não";"Urbana";165.567468313364
25;"PB";2500205;"Aguiar";"Masculino";"Branca";"Sim";"Urbana";287.153704781656
25;"PB";2500205;"Aguiar";"Masculino";"Branca";NA;"Urbana";61.7862646789952
25;"PB";2500205;"Aguiar";"Masculino";"Parda";"Não";"Urbana";221.398215861527
25;"PB";2500205;"Aguiar";"Masculino";"Parda";"Sim";"Urbana";463.783186475307
25;"PB";2500205;"Aguiar";"Masculino";"Parda";NA;"Urbana";51.3287633083906
25;"PB";2500205;"Aguiar";"Masculino";"Preta";"Não";"Urbana";18.1725642375344
25;"PB";2500205;"Aguiar";"Masculino";"Preta";"Sim";"Urbana";5.809832343232
25;"PB";2500304;"Alagoa Grande";"Feminino";"Amarela";"Não";"Rural";9.3481582940115
25;"PB";2500304;"Alagoa Grande";"Feminino";"Amarela";"Sim";"Rural";43.7319213320089
25;"PB";2500304;"Alagoa Grande";"Feminino";"Branca";"Não";"Rural";373.373622125813
25;"PB";2500304;"Alagoa Grande";"Feminino";"Branca";"Sim";"Rural";796.601481815436
25;"PB";2500304;"Alagoa Grande";"Feminino";"Branca";NA;"Rural";125.887707153627
25;"PB";2500304;"Alagoa Grande";"Feminino";"Parda";"Não";"Rural";971.9389334453
25;"PB";2500304;"Alagoa Grande";"Feminino";"Parda";"Sim";"Rural";2110.57084108783
25;"PB";2500304;"Alagoa Grande";"Feminino";"Parda";NA;"Rural";331.4650016702
25;"PB";2500304;"Alagoa Grande";"Feminino";"Preta";"Não";"Rural";290.901858894952
25;"PB";2500304;"Alagoa Grande";"Feminino";"Preta";"Sim";"Rural";320.594034696903
25;"PB";2500304;"Alagoa Grande";"Feminino";"Preta";NA;"Rural";45.5864394839158
25;"PB";2500304;"Alagoa Grande";"Masculino";"Amarela";"Sim";"Rural";17.030503465629
25;"PB";2500304;"Alagoa Grande";"Masculino";"Branca";"Não";"Rural";763.763427667742
25;"PB";2500304;"Alagoa Grande";"Masculino";"Branca";"Sim";"Rural";648.780014544475
25;"PB";2500304;"Alagoa Grande";"Masculino";"Branca";NA;"Rural";176.325642228017
25;"PB";2500304;"Alagoa Grande";"Masculino";"Parda";"Não";"Rural";1274.10951768214
25;"PB";2500304;"Alagoa Grande";"Masculino";"Parda";"Sim";"Rural";1721.13909348328
25;"PB";2500304;"Alagoa Grande";"Masculino";"Parda";NA;"Rural";323.382905169198
25;"PB";2500304;"Alagoa Grande";"Masculino";"Preta";"Não";"Rural";345.126172743299
25;"PB";2500304;"Alagoa Grande";"Masculino";"Preta";"Sim";"Rural";234.529586116615
25;"PB";2500304;"Alagoa Grande";"Masculino";"Preta";NA;"Rural";23.8131368995981
25;"PB";2500304;"Alagoa Grande";"Feminino";"Amarela";"Não";"Urbana";21.1976882024011
25;"PB";2500304;"Alagoa Grande";"Feminino";"Amarela";"Sim";"Urbana";21.7140351853936
25;"PB";2500304;"Alagoa Grande";"Feminino";"Branca";"Não";"Urbana";528.891923894046
25;"PB";2500304;"Alagoa Grande";"Feminino";"Branca";"Sim";"Urbana";2140.55569284536
25;"PB";2500304;"Alagoa Grande";"Feminino";"Branca";NA;"Urbana";301.87038760778
25;"PB";2500304;"Alagoa Grande";"Feminino";"Parda";"Não";"Urbana";1364.62730171725
25;"PB";2500304;"Alagoa Grande";"Feminino";"Parda";"Sim";"Urbana";3789.96376716973
25;"PB";2500304;"Alagoa Grande";"Feminino";"Parda";NA;"Urbana";379.789556768093
25;"PB";2500304;"Alagoa Grande";"Feminino";"Preta";"Não";"Urbana";195.854669374111
25;"PB";2500304;"Alagoa Grande";"Feminino";"Preta";"Sim";"Urbana";441.464755671855
