"COD_UF";"NO_UF";"COD_MUN";"NO_MUN";"SEXO";"ETNIA";"LE_ESCREVE";"SIT_DOM";"POP"
26;"PE";2600054;"Abreu e Lima";"Feminino";"Amarela";"Sim";"Rural";12.8648725156275
26;"PE";2600054;"Abreu e Lima";"Feminino";"Amarela";NA;"Rural";11.3807534542428
26;"PE";2600054;"Abreu e Lima";"Feminino";"Branca";"Não";"Rural";233.122325827399
26;"PE";2600054;"Abreu e Lima";"Feminino";"Branca";"Sim";"Rural";767.028564910197
26;"PE";2600054;"Abreu e Lima";"Feminino";"Branca";NA;"Rural";109.911368017385
26;"PE";2600054;"Abreu e Lima";"Feminino";"Parda";"Não";"Rural";509.659270128607
26;"PE";2600054;"Abreu e Lima";"Feminino";"Parda";"Sim";"Rural";1985.18653016347
26;"PE";2600054;"Abreu e Lima";"Feminino";"Parda";NA;"Rural";170.772759509023
26;"PE";2600054;"Abreu e Lima";"Feminino";"Preta";"Não";"Rural";25.3314695780098
26;"PE";2600054;"Abreu e Lima";"Feminino";"Preta";"Sim";"Rural";91.7420858960333
26;"PE";2600054;"Abreu e Lima";"Masculino";"Amarela";"Não";"Rural";23.3566723061088
26;"PE";2600054;"Abreu e Lima";"Masculino";"Amarela";"Sim";"Rural";8.207238072217
26;"PE";2600054;"Abreu e Lima";"Masculino";"Branca";"Não";"Rural";225.232163917589
26;"PE";2600054;"Abreu e Lima";"Masculino";"Branca";"Sim";"Rural";778.974844725646
26;"PE";2600054;"Abreu e Lima";"Masculino";"Branca";NA;"Rural";108.368126442839
26;"PE";2600054;"Abreu e Lima";"Masculino";"Parda";"Não";"Rural";503.146084704715
26;"PE";2600054;"Abreu e Lima";"Masculino";"Parda";"Sim";"Rural";1946.71009628785
26;"PE";2600054;"Abreu e Lima";"Masculino";"Parda";NA;"Rural";201.619527070712
26;"PE";2600054;"Abreu e Lima";"Masculino";"Preta";"Não";"Rural";21.8290469325911
26;"PE";2600054;"Abreu e Lima";"Masculino";"Preta";"Sim";"Rural";69.5561995397329
26;"PE";2600054;"Abreu e Lima";"Feminino";"Amarela";"Não";"Urbana";42.0469864765623
26;"PE";2600054;"Abreu e Lima";"Feminino";"Amarela";"Sim";"Urbana";326.879376997168
26;"PE";2600054;"Abreu e Lima";"Feminino";"Amarela";NA;"Urbana";58.6531073474725
26;"PE";2600054;"Abreu e Lima";"Feminino";"Branca";"Não";"Urbana";1448.88860749155
26;"PE";2600054;"Abreu e Lima";"Feminino";"Branca";"Sim";"Urbana";12866.0304357071
26;"PE";2600054;"Abreu e Lima";"Feminino";"Branca";NA;"Urbana";1520.13928177774
26;"PE";2600054;"Abreu e Lima";"Feminino";"Indígena";"Não";"Urbana";37.4993415258596
26;"PE";2600054;"Abreu e Lima";"Feminino";"Indígena";"Sim";"Urbana";226.085499388945
26;"PE";2600054;"Abreu e Lima";"Feminino";"Indígena";NA;"Urbana";12.4878635878433
26;"PE";2600054;"Abreu e Lima";"Feminino";"Parda";"Não";"Urbana";2317.39556804972
26;"PE";2600054;"Abreu e Lima";"Feminino";"Parda";"Sim";"Urbana";21540.8644931558
26;"PE";2600054;"Abreu e Lima";"Feminino";"Parda";NA;"Urbana";1442.1288142666
26;"PE";2600054;"Abreu e Lima";"Feminino";"Preta";"Não";"Urbana";440.882285398019
26;"PE";2600054;"Abreu e Lima";"Feminino";"Preta";"Sim";"Urbana";3018.92936514187
26;"PE";2600054;"Abreu e Lima";"Feminino";"Preta";NA;"Urbana";88.0889736879188
26;"PE";2600054;"Abreu e Lima";"Masculino";"Amarela";"Não";"Urbana";30.0204182695689
26;"PE";2600054;"Abreu e Lima";"Masculino";"Amarela";"Sim";"Urbana";250.777296865772
26;"PE";2600054;"Abreu e Lima";"Masculino";"Branca";"Não";"Urbana";998.942953844855
26;"PE";2600054;"Abreu e Lima";"Masculino";"Branca";"Sim";"Urbana";11778.1544898979
26;"PE";2600054;"Abreu e Lima";"Masculino";"Branca";NA;"Urbana";1077.01884808693
26;"PE";2600054;"Abreu e Lima";"Masculino";"Indígena";"Não";"Urbana";17.4626530416675
26;"PE";2600054;"Abreu e Lima";"Masculino";"Indígena";"Sim";"Urbana";189.804369688285
26;"PE";2600054;"Abreu e Lima";"Masculino";"Indígena";NA;"Urbana";8.6126397365552
26;"PE";2600054;"Abreu e Lima";"Masculino";"Parda";"Não";"Urbana";2276.79860162322
26;"PE";2600054;"Abreu e Lima";"Masculino";"Parda";"Sim";"Urbana";19077.3735359969
26;"PE";2600054;"Abreu e Lima";"Masculino";"Parda";NA;"Urbana";1773.06167666066
26;"PE";2600054;"Abreu e Lima";"Masculino";"Preta";"Não";"Urbana";386.386180487808
26;"PE";2600054;"Abreu e Lima";"Masculino";"Preta";"Sim";"Urbana";3309.51953280619
26;"PE";2600054;"Abreu e Lima";"Masculino";"Preta";NA;"Urbana";64.0668029937834
26;"PE";2600104;"Afogados da Ingazeira";"Feminino";"Amarela";"Sim";"Rural";39.804852905509
26;"PE";2600104;"Afogados da Ingazeira";"Feminino";"Branca";"Não";"Rural";348.400737217308
26;"PE";2600104;"Afogados da Ingazeira";"Feminino";"Branca";"Sim";"Rural";1124.93462102025
26;"PE";2600104;"Afogados da Ingazeira";"Feminino";"Branca";NA;"Rural";161.394721297
26;"PE";2600104;"Afogados da Ingazeira";"Feminino";"Parda";"Não";"Rural";553.864302496205
26;"PE";2600104;"Afogados da Ingazeira";"Feminino";"Parda";"Sim";"Rural";1291.68995231721
26;"PE";2600104;"Afogados da Ingazeira";"Feminino";"Parda";NA;"Rural";122.459610865847
26;"PE";2600104;"Afogados da Ingazeira";"Feminino";"Preta";"Não";"Rural";69.8892635973735
26;"PE";2600104;"Afogados da Ingazeira";"Feminino";"Preta";"Sim";"Rural";38.0955968500746
26;"PE";2600104;"Afogados da Ingazeira";"Feminino";"Preta";NA;"Rural";10.4663414332268
26;"PE";2600104;"Afogados da Ingazeira";"Masculino";"Amarela";"Não";"Rural";13.6603924236283
26;"PE";2600104;"Afogados da Ingazeira";"Masculino";"Amarela";"Sim";"Rural";30.6037927998692
26;"PE";2600104;"Afogados da Ingazeira";"Masculino";"Amarela";NA;"Rural";5.4647003834096
26;"PE";2600104;"Afogados da Ingazeira";"Masculino";"Branca";"Não";"Rural";316.816580036628
26;"PE";2600104;"Afogados da Ingazeira";"Masculino";"Branca";"Sim";"Rural";1037.95183945142
26;"PE";2600104;"Afogados da Ingazeira";"Masculino";"Branca";NA;"Rural";163.969871540285
26;"PE";2600104;"Afogados da Ingazeira";"Masculino";"Parda";"Não";"Rural";670.986953619288
26;"PE";2600104;"Afogados da Ingazeira";"Masculino";"Parda";"Sim";"Rural";1455.67373560126
26;"PE";2600104;"Afogados da Ingazeira";"Masculino";"Parda";NA;"Rural";99.2719500588437
26;"PE";2600104;"Afogados da Ingazeira";"Masculino";"Preta";"Não";"Rural";59.7428668142903
