"COD_UF";"NO_UF";"COD_MUN";"NO_MUN";"SEXO";"ETNIA";"LE_ESCREVE";"SIT_DOM";"POP"
22;"PI";2200053;"Acauã";"Feminino";"Amarela";"Sim";"Rural";19.2014743512302
22;"PI";2200053;"Acauã";"Feminino";"Branca";"Não";"Rural";425.207130120846
22;"PI";2200053;"Acauã";"Feminino";"Branca";"Sim";"Rural";1547.4441781732
22;"PI";2200053;"Acauã";"Feminino";"Branca";NA;"Rural";126.040046062022
22;"PI";2200053;"Acauã";"Feminino";"Parda";"Não";"Rural";132.265754949806
22;"PI";2200053;"Acauã";"Feminino";"Parda";"Sim";"Rural";304.288427986177
22;"PI";2200053;"Acauã";"Feminino";"Parda";NA;"Rural";48.2909913983261
22;"PI";2200053;"Acauã";"Feminino";"Preta";"Não";"Rural";69.2891665732417
22;"PI";2200053;"Acauã";"Feminino";"Preta";"Sim";"Rural";107.325332317173
22;"PI";2200053;"Acauã";"Feminino";"Preta";NA;"Rural";23.6474980679783
22;"PI";2200053;"Acauã";"Masculino";"Amarela";"Sim";"Rural";9.4899797618475
22;"PI";2200053;"Acauã";"Masculino";"Branca";"Não";"Rural";607.511040853772
22;"PI";2200053;"Acauã";"Masculino";"Branca";"Sim";"Rural";1448.31802251829
22;"PI";2200053;"Acauã";"Masculino";"Branca";NA;"Rural";171.473618559821
22;"PI";2200053;"Acauã";"Masculino";"Parda";"Não";"Rural";186.164885586785
22;"PI";2200053;"Acauã";"Masculino";"Parda";"Sim";"Rural";298.433079600286
22;"PI";2200053;"Acauã";"Masculino";"Parda";NA;"Rural";45.5094631512602
22;"PI";2200053;"Acauã";"Masculino";"Preta";"Não";"Rural";104.797929419373
22;"PI";2200053;"Acauã";"Masculino";"Preta";"Sim";"Rural";157.200863513092
22;"PI";2200053;"Acauã";"Masculino";"Preta";NA;"Rural";16.1011170354806
22;"PI";2200053;"Acauã";"Feminino";"Amarela";"Não";"Urbana";2.6159828312412
22;"PI";2200053;"Acauã";"Feminino";"Amarela";"Sim";"Urbana";6.2946169799249
22;"PI";2200053;"Acauã";"Feminino";"Amarela";NA;"Urbana";3.0155653189168
22;"PI";2200053;"Acauã";"Feminino";"Branca";"Não";"Urbana";25.871227260254
22;"PI";2200053;"Acauã";"Feminino";"Branca";"Sim";"Urbana";187.241959310083
22;"PI";2200053;"Acauã";"Feminino";"Branca";NA;"Urbana";22.7557484997274
22;"PI";2200053;"Acauã";"Feminino";"Parda";"Não";"Urbana";18.2478960304315
22;"PI";2200053;"Acauã";"Feminino";"Parda";"Sim";"Urbana";126.923475054158
22;"PI";2200053;"Acauã";"Feminino";"Parda";NA;"Urbana";34.1106987731772
22;"PI";2200053;"Acauã";"Feminino";"Preta";"Não";"Urbana";20.1778431368495
22;"PI";2200053;"Acauã";"Feminino";"Preta";"Sim";"Urbana";37.1290039739969
