"COD_UF";"NO_UF";"COD_MUN";"NO_MUN";"SEXO";"ETNIA";"LE_ESCREVE";"SIT_DOM";"POP"
33;"RJ";3300100;"Angra dos Reis";"Feminino";"Amarela";"Sim";"Rural";15.4667118715265
33;"RJ";3300100;"Angra dos Reis";"Feminino";"Branca";"Não";"Rural";136.456958820102
33;"RJ";3300100;"Angra dos Reis";"Feminino";"Branca";"Sim";"Rural";1132.82059656847
33;"RJ";3300100;"Angra dos Reis";"Feminino";"Branca";NA;"Rural";49.685698438066
33;"RJ";3300100;"Angra dos Reis";"Feminino";"Indígena";"Não";"Rural";54.9295845313917
33;"RJ";3300100;"Angra dos Reis";"Feminino";"Indígena";"Sim";"Rural";56.3327973294619
33;"RJ";3300100;"Angra dos Reis";"Feminino";"Indígena";NA;"Rural";51.0348059682357
33;"RJ";3300100;"Angra dos Reis";"Feminino";"Parda";"Não";"Rural";167.614894529173
33;"RJ";3300100;"Angra dos Reis";"Feminino";"Parda";"Sim";"Rural";1096.10225512974
33;"RJ";3300100;"Angra dos Reis";"Feminino";"Parda";NA;"Rural";149.153545588823
33;"RJ";3300100;"Angra dos Reis";"Feminino";"Preta";"Não";"Rural";23.7772681251497
33;"RJ";3300100;"Angra dos Reis";"Feminino";"Preta";"Sim";"Rural";136.549573224307
33;"RJ";3300100;"Angra dos Reis";"Masculino";"Amarela";"Sim";"Rural";1.0000000000011
33;"RJ";3300100;"Angra dos Reis";"Masculino";"Branca";"Não";"Rural";81.1411993237444
33;"RJ";3300100;"Angra dos Reis";"Masculino";"Branca";"Sim";"Rural";1040.16252325765
33;"RJ";3300100;"Angra dos Reis";"Masculino";"Branca";NA;"Rural";113.230156282419
33;"RJ";3300100;"Angra dos Reis";"Masculino";"Indígena";"Sim";"Rural";71.8501167644184
33;"RJ";3300100;"Angra dos Reis";"Masculino";"Indígena";NA;"Rural";38.1796611164809
33;"RJ";3300100;"Angra dos Reis";"Masculino";"Parda";"Não";"Rural";164.074645468878
33;"RJ";3300100;"Angra dos Reis";"Masculino";"Parda";"Sim";"Rural";1371.46937585349
33;"RJ";3300100;"Angra dos Reis";"Masculino";"Parda";NA;"Rural";97.2224308371056
33;"RJ";3300100;"Angra dos Reis";"Masculino";"Preta";"Não";"Rural";28.755822041748
33;"RJ";3300100;"Angra dos Reis";"Masculino";"Preta";"Sim";"Rural";229.85837178008
33;"RJ";3300100;"Angra dos Reis";"Masculino";"Preta";NA;"Rural";4.9787107180459
33;"RJ";3300100;"Angra dos Reis";"Feminino";"Amarela";"Não";"Urbana";34.8724897847611
33;"RJ";3300100;"Angra dos Reis";"Feminino";"Amarela";"Sim";"Urbana";895.642188156948
33;"RJ";3300100;"Angra dos Reis";"Feminino";"Amarela";NA;"Urbana";34.2952038937362
33;"RJ";3300100;"Angra dos Reis";"Feminino";"Branca";"Não";"Urbana";2093.49746369469
33;"RJ";3300100;"Angra dos Reis";"Feminino";"Branca";"Sim";"Urbana";38795.9827994792
33;"RJ";3300100;"Angra dos Reis";"Feminino";"Branca";NA;"Urbana";3551.05244781959
33;"RJ";3300100;"Angra dos Reis";"Feminino";"Ignorado";"Não";"Urbana";57.4662961563578
33;"RJ";3300100;"Angra dos Reis";"Feminino";"Ignorado";"Sim";"Urbana";72.439015880632
33;"RJ";3300100;"Angra dos Reis";"Feminino";"Ignorado";NA;"Urbana";20.1941719846477
33;"RJ";3300100;"Angra dos Reis";"Feminino";"Indígena";"Não";"Urbana";8.3921300549441
33;"RJ";3300100;"Angra dos Reis";"Feminino";"Indígena";"Sim";"Urbana";88.8842846378719
33;"RJ";3300100;"Angra dos Reis";"Feminino";"Parda";"Não";"Urbana";2032.39581345312
33;"RJ";3300100;"Angra dos Reis";"Feminino";"Parda";"Sim";"Urbana";26743.9689629198
33;"RJ";3300100;"Angra dos Reis";"Feminino";"Parda";NA;"Urbana";1742.49860338426
33;"RJ";3300100;"Angra dos Reis";"Feminino";"Preta";"Não";"Urbana";290.166982557953
33;"RJ";3300100;"Angra dos Reis";"Feminino";"Preta";"Sim";"Urbana";5172.77786607081
33;"RJ";3300100;"Angra dos Reis";"Feminino";"Preta";NA;"Urbana";140.548589946279
33;"RJ";3300100;"Angra dos Reis";"Masculino";"Amarela";"Não";"Urbana";53.8864233380886
33;"RJ";3300100;"Angra dos Reis";"Masculino";"Amarela";"Sim";"Urbana";667.396925035581
33;"RJ";3300100;"Angra dos Reis";"Masculino";"Amarela";NA;"Urbana";12.2872127575158
33;"RJ";3300100;"Angra dos Reis";"Masculino";"Branca";"Não";"Urbana";1985.76860871828
33;"RJ";3300100;"Angra dos Reis";"Masculino";"Branca";"Sim";"Urbana";36077.1044890114
33;"RJ";3300100;"Angra dos Reis";"Masculino";"Branca";NA;"Urbana";3397.50154592594
33;"RJ";3300100;"Angra dos Reis";"Masculino";"Ignorado";"Não";"Urbana";69.480544065876
33;"RJ";3300100;"Angra dos Reis";"Masculino";"Ignorado";"Sim";"Urbana";10.1443549464856
33;"RJ";3300100;"Angra dos Reis";"Masculino";"Indígena";"Sim";"Urbana";103.592530553276
33;"RJ";3300100;"Angra dos Reis";"Masculino";"Parda";"Não";"Urbana";1974.7268870524
33;"RJ";3300100;"Angra dos Reis";"Masculino";"Parda";"Sim";"Urbana";29036.1923675302
33;"RJ";3300100;"Angra dos Reis";"Masculino";"Parda";NA;"Urbana";1790.10006768007
33;"RJ";3300100;"Angra dos Reis";"Masculino";"Preta";"Não";"Urbana";312.554780214842
33;"RJ";3300100;"Angra dos Reis";"Masculino";"Preta";"Sim";"Urbana";5790.12951305791
33;"RJ";3300100;"Angra dos Reis";"Masculino";"Preta";NA;"Urbana";143.210736668191
33;"RJ";3300159;"Aperibé";"Feminino";"Amarela";"Sim";"Rural";2.9740776540741
33;"RJ";3300159;"Aperibé";"Feminino";"Branca";"Não";"Rural";49.8268107276859
33;"RJ";3300159;"Aperibé";"Feminino";"Branca";"Sim";"Rural";344.54840071106
33;"RJ";3300159;"Aperibé";"Feminino";"Branca";NA;"Rural";37.5469873706457
33;"RJ";3300159;"Aperibé";"Feminino";"Parda";"Não";"Rural";12.3231999289121
33;"RJ";3300159;"Aperibé";"Feminino";"Parda";"Sim";"Rural";147.605566823578
33;"RJ";3300159;"Aperibé";"Feminino";"Parda";NA;"Rural";16.6214150290707
