"COD_UF";"NO_UF";"COD_MUN";"NO_MUN";"SEXO";"ETNIA";"LE_ESCREVE";"SIT_DOM";"POP"
24;"RN";2400109;"Acari";"Feminino";"Branca";"Não";"Rural";39.9194025214738
24;"RN";2400109;"Acari";"Feminino";"Branca";"Sim";"Rural";372.664338336629
24;"RN";2400109;"Acari";"Feminino";"Branca";NA;"Rural";55.2241376169374
24;"RN";2400109;"Acari";"Feminino";"Parda";"Não";"Rural";107.719177789306
24;"RN";2400109;"Acari";"Feminino";"Parda";"Sim";"Rural";332.558582157405
24;"RN";2400109;"Acari";"Feminino";"Parda";NA;"Rural";28.9551607432141
24;"RN";2400109;"Acari";"Feminino";"Preta";"Não";"Rural";17.4411138536019
24;"RN";2400109;"Acari";"Feminino";"Preta";"Sim";"Rural";39.5180869814656
24;"RN";2400109;"Acari";"Masculino";"Branca";"Não";"Rural";97.8464219008645
24;"RN";2400109;"Acari";"Masculino";"Branca";"Sim";"Rural";347.188187369326
24;"RN";2400109;"Acari";"Masculino";"Branca";NA;"Rural";33.1040130277209
24;"RN";2400109;"Acari";"Masculino";"Parda";"Não";"Rural";125.4849093818
24;"RN";2400109;"Acari";"Masculino";"Parda";"Sim";"Rural";433.202155059601
24;"RN";2400109;"Acari";"Masculino";"Parda";NA;"Rural";41.2148954324228
24;"RN";2400109;"Acari";"Masculino";"Preta";"Não";"Rural";27.1291754946725
24;"RN";2400109;"Acari";"Masculino";"Preta";"Sim";"Rural";31.3738384273772
24;"RN";2400109;"Acari";"Masculino";"Preta";NA;"Rural";2.4564039062503
24;"RN";2400109;"Acari";"Feminino";"Amarela";"Sim";"Urbana";30.4720166484091
24;"RN";2400109;"Acari";"Feminino";"Branca";"Não";"Urbana";268.023134853484
24;"RN";2400109;"Acari";"Feminino";"Branca";"Sim";"Urbana";2124.12381082816
24;"RN";2400109;"Acari";"Feminino";"Branca";NA;"Urbana";184.467009189439
24;"RN";2400109;"Acari";"Feminino";"Parda";"Não";"Urbana";213.849192428136
24;"RN";2400109;"Acari";"Feminino";"Parda";"Sim";"Urbana";1532.06379732105
24;"RN";2400109;"Acari";"Feminino";"Parda";NA;"Urbana";106.328728134357
24;"RN";2400109;"Acari";"Feminino";"Preta";"Não";"Urbana";32.3271611173762
24;"RN";2400109;"Acari";"Feminino";"Preta";"Sim";"Urbana";185.345149479715
24;"RN";2400109;"Acari";"Masculino";"Amarela";"Não";"Urbana";3.8603333889319
24;"RN";2400109;"Acari";"Masculino";"Amarela";"Sim";"Urbana";37.6773762701033
24;"RN";2400109;"Acari";"Masculino";"Amarela";NA;"Urbana";2.5747830310174
24;"RN";2400109;"Acari";"Masculino";"Branca";"Não";"Urbana";400.18584423509
24;"RN";2400109;"Acari";"Masculino";"Branca";"Sim";"Urbana";1654.7368281901
24;"RN";2400109;"Acari";"Masculino";"Branca";NA;"Urbana";155.281519969706
