"COD_UF";"NO_UF";"COD_MUN";"NO_MUN";"SEXO";"ETNIA";"LE_ESCREVE";"SIT_DOM";"POP"
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Feminino";"Branca";"Não";"Rural";272.03666217293
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Feminino";"Branca";"Sim";"Rural";1750.102460847
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Feminino";"Branca";NA;"Rural";115.562523060772
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Feminino";"Indígena";"Não";"Rural";49.8408083754761
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Feminino";"Indígena";"Sim";"Rural";59.5156488384724
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Feminino";"Indígena";NA;"Rural";25.4325514353622
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Feminino";"Parda";"Não";"Rural";365.688951892737
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Feminino";"Parda";"Sim";"Rural";1767.85227566883
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Feminino";"Parda";NA;"Rural";218.31398047793
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Feminino";"Preta";"Não";"Rural";41.1169020535746
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Feminino";"Preta";"Sim";"Rural";60.4853062582802
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Feminino";"Preta";NA;"Rural";10.0519289185967
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Masculino";"Amarela";"Sim";"Rural";21.7789028151023
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Masculino";"Branca";"Não";"Rural";196.465877246431
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Masculino";"Branca";"Sim";"Rural";2086.54962857915
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Masculino";"Branca";NA;"Rural";242.87514396453
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Masculino";"Indígena";"Não";"Rural";40.784955862494
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Masculino";"Indígena";"Sim";"Rural";131.379685934788
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Masculino";"Indígena";NA;"Rural";17.2876575359542
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Masculino";"Parda";"Não";"Rural";481.442796896243
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Masculino";"Parda";"Sim";"Rural";2012.37948880058
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Masculino";"Parda";NA;"Rural";198.762533743544
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Masculino";"Preta";"Não";"Rural";18.1254542080611
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Masculino";"Preta";"Sim";"Rural";205.155781024953
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Masculino";"Preta";NA;"Rural";33.0120933881221
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Feminino";"Amarela";"Sim";"Urbana";31.260355591264
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Feminino";"Branca";"Não";"Urbana";219.07026765813
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Feminino";"Branca";"Sim";"Urbana";2532.47510859415
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Feminino";"Branca";NA;"Urbana";294.256144875361
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Feminino";"Indígena";"Não";"Urbana";30.4467074902373
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Feminino";"Indígena";"Sim";"Urbana";39.703524646013
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Feminino";"Indígena";NA;"Urbana";17.6925110403066
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Feminino";"Parda";"Não";"Urbana";403.947053870187
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Feminino";"Parda";"Sim";"Urbana";2892.52120986435
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Feminino";"Parda";NA;"Urbana";241.741757428138
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Feminino";"Preta";"Não";"Urbana";65.3670842578567
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Feminino";"Preta";"Sim";"Urbana";231.518274683954
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Masculino";"Amarela";"Sim";"Urbana";42.6651365088828
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Masculino";"Branca";"Não";"Urbana";356.396373612732
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Masculino";"Branca";"Sim";"Urbana";2266.51508292706
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Masculino";"Branca";NA;"Urbana";251.01883438287
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Masculino";"Indígena";"Sim";"Urbana";84.6361742663705
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Masculino";"Parda";"Não";"Urbana";392.261108803983
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Masculino";"Parda";"Sim";"Urbana";2997.568012955
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Masculino";"Parda";NA;"Urbana";149.770296434866
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Masculino";"Preta";"Não";"Urbana";59.0598481330714
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Masculino";"Preta";"Sim";"Urbana";335.169914301959
11;"RO";1100015;"'Alta Floresta D''Oeste'";"Masculino";"Preta";NA;"Urbana";34.9392176731512
11;"RO";1100023;"Ariquemes";"Feminino";"Amarela";"Sim";"Rural";71.3917725354282
11;"RO";1100023;"Ariquemes";"Feminino";"Branca";"Não";"Rural";193.415968531568
11;"RO";1100023;"Ariquemes";"Feminino";"Branca";"Sim";"Rural";1593.08603128809
11;"RO";1100023;"Ariquemes";"Feminino";"Branca";NA;"Rural";193.936482228436
11;"RO";1100023;"Ariquemes";"Feminino";"Indígena";"Sim";"Rural";11.8156774993015
11;"RO";1100023;"Ariquemes";"Feminino";"Parda";"Não";"Rural";440.747449696386
11;"RO";1100023;"Ariquemes";"Feminino";"Parda";"Sim";"Rural";2830.45393138891
11;"RO";1100023;"Ariquemes";"Feminino";"Parda";NA;"Rural";287.97091612539
11;"RO";1100023;"Ariquemes";"Feminino";"Preta";"Não";"Rural";88.7415983061273
11;"RO";1100023;"Ariquemes";"Feminino";"Preta";"Sim";"Rural";534.167828763808
11;"RO";1100023;"Ariquemes";"Feminino";"Preta";NA;"Rural";69.2723436365583
11;"RO";1100023;"Ariquemes";"Masculino";"Amarela";"Não";"Rural";21.2780498732206
11;"RO";1100023;"Ariquemes";"Masculino";"Amarela";"Sim";"Rural";125.027199216759
11;"RO";1100023;"Ariquemes";"Masculino";"Amarela";NA;"Rural";23.9238330265153
11;"RO";1100023;"Ariquemes";"Masculino";"Branca";"Não";"Rural";274.987572907113
11;"RO";1100023;"Ariquemes";"Masculino";"Branca";"Sim";"Rural";1819.33073717922
11;"RO";1100023;"Ariquemes";"Masculino";"Branca";NA;"Rural";200.679448035855
11;"RO";1100023;"Ariquemes";"Masculino";"Indígena";"Sim";"Rural";36.7214476085048
11;"RO";1100023;"Ariquemes";"Masculino";"Parda";"Não";"Rural";500.245139219178
11;"RO";1100023;"Ariquemes";"Masculino";"Parda";"Sim";"Rural";3410.33515531244
11;"RO";1100023;"Ariquemes";"Masculino";"Parda";NA;"Rural";236.509226579534
11;"RO";1100023;"Ariquemes";"Masculino";"Preta";"Não";"Rural";159.282084603191
11;"RO";1100023;"Ariquemes";"Masculino";"Preta";"Sim";"Rural";634.263014640287
11;"RO";1100023;"Ariquemes";"Masculino";"Preta";NA;"Rural";70.4170917981808
