"COD_UF";"NO_UF";"COD_MUN";"NO_MUN";"SEXO";"ETNIA";"LE_ESCREVE";"SIT_DOM";"POP"
14;"RR";1400027;"Amajari";"Feminino";"Branca";"Não";"Rural";33.8483569103989
14;"RR";1400027;"Amajari";"Feminino";"Branca";"Sim";"Rural";114.001704805475
14;"RR";1400027;"Amajari";"Feminino";"Indígena";"Não";"Rural";1269.99492079685
14;"RR";1400027;"Amajari";"Feminino";"Indígena";"Sim";"Rural";675.075589830591
14;"RR";1400027;"Amajari";"Feminino";"Indígena";NA;"Rural";539.145028076426
14;"RR";1400027;"Amajari";"Feminino";"Parda";"Não";"Rural";150.68196783578
14;"RR";1400027;"Amajari";"Feminino";"Parda";"Sim";"Rural";799.619236029286
14;"RR";1400027;"Amajari";"Feminino";"Parda";NA;"Rural";121.963129966258
14;"RR";1400027;"Amajari";"Feminino";"Preta";"Sim";"Rural";42.6700657486008
14;"RR";1400027;"Amajari";"Masculino";"Amarela";"Não";"Rural";5.2721106510749
14;"RR";1400027;"Amajari";"Masculino";"Amarela";"Sim";"Rural";9.6064987697361
14;"RR";1400027;"Amajari";"Masculino";"Branca";"Não";"Rural";27.7977437727021
14;"RR";1400027;"Amajari";"Masculino";"Branca";"Sim";"Rural";142.34677157796
14;"RR";1400027;"Amajari";"Masculino";"Branca";NA;"Rural";20.8726510794633
14;"RR";1400027;"Amajari";"Masculino";"Indígena";"Não";"Rural";1443.84393639239
14;"RR";1400027;"Amajari";"Masculino";"Indígena";"Sim";"Rural";729.426794941753
14;"RR";1400027;"Amajari";"Masculino";"Indígena";NA;"Rural";551.46587259021
14;"RR";1400027;"Amajari";"Masculino";"Parda";"Não";"Rural";241.990715515979
14;"RR";1400027;"Amajari";"Masculino";"Parda";"Sim";"Rural";966.859366767915
14;"RR";1400027;"Amajari";"Masculino";"Parda";NA;"Rural";152.847985549833
14;"RR";1400027;"Amajari";"Masculino";"Preta";"Não";"Rural";9.6091038177445
14;"RR";1400027;"Amajari";"Masculino";"Preta";"Sim";"Rural";49.7015204601888
14;"RR";1400027;"Amajari";"Masculino";"Preta";NA;"Rural";9.3589281126675
14;"RR";1400027;"Amajari";"Feminino";"Amarela";"Sim";"Urbana";3.219495502286
14;"RR";1400027;"Amajari";"Feminino";"Branca";"Não";"Urbana";20.529032184397
14;"RR";1400027;"Amajari";"Feminino";"Branca";"Sim";"Urbana";73.0519418923904
14;"RR";1400027;"Amajari";"Feminino";"Branca";NA;"Urbana";7.2124005813716
14;"RR";1400027;"Amajari";"Feminino";"Indígena";"Não";"Urbana";10.7320598942734
14;"RR";1400027;"Amajari";"Feminino";"Indígena";"Sim";"Urbana";27.0862144801233
14;"RR";1400027;"Amajari";"Feminino";"Parda";"Não";"Urbana";39.8015808434922
14;"RR";1400027;"Amajari";"Feminino";"Parda";"Sim";"Urbana";354.20645398773
14;"RR";1400027;"Amajari";"Feminino";"Parda";NA;"Urbana";52.1608206338919
14;"RR";1400027;"Amajari";"Masculino";"Amarela";"Não";"Urbana";3.8237118870437
14;"RR";1400027;"Amajari";"Masculino";"Branca";"Não";"Urbana";5.2045097337358
14;"RR";1400027;"Amajari";"Masculino";"Branca";"Sim";"Urbana";84.4792690408901
14;"RR";1400027;"Amajari";"Masculino";"Branca";NA;"Urbana";8.110386497312
14;"RR";1400027;"Amajari";"Masculino";"Indígena";"Não";"Urbana";6.7584345188419
14;"RR";1400027;"Amajari";"Masculino";"Indígena";"Sim";"Urbana";72.2870263401397
14;"RR";1400027;"Amajari";"Masculino";"Indígena";NA;"Urbana";4.4381869702731
14;"RR";1400027;"Amajari";"Masculino";"Parda";"Não";"Urbana";66.5502439727763
14;"RR";1400027;"Amajari";"Masculino";"Parda";"Sim";"Urbana";340.415092982677
14;"RR";1400027;"Amajari";"Masculino";"Parda";NA;"Urbana";38.9331380562697
14;"RR";1400050;"Alto Alegre";"Feminino";"Amarela";"Sim";"Rural";14.8891515948786
14;"RR";1400050;"Alto Alegre";"Feminino";"Branca";"Não";"Rural";41.3910726388311
14;"RR";1400050;"Alto Alegre";"Feminino";"Branca";"Sim";"Rural";225.288341734682
14;"RR";1400050;"Alto Alegre";"Feminino";"Branca";NA;"Rural";38.6141376966857
14;"RR";1400050;"Alto Alegre";"Feminino";"Indígena";"Não";"Rural";2326.28393889899
14;"RR";1400050;"Alto Alegre";"Feminino";"Indígena";"Sim";"Rural";448.597740060367
14;"RR";1400050;"Alto Alegre";"Feminino";"Indígena";NA;"Rural";790.005720135535
14;"RR";1400050;"Alto Alegre";"Feminino";"Parda";"Não";"Rural";201.551643327017
14;"RR";1400050;"Alto Alegre";"Feminino";"Parda";"Sim";"Rural";1011.67248233342
14;"RR";1400050;"Alto Alegre";"Feminino";"Parda";NA;"Rural";162.689726338453
14;"RR";1400050;"Alto Alegre";"Feminino";"Preta";"Não";"Rural";38.547691989342
14;"RR";1400050;"Alto Alegre";"Feminino";"Preta";"Sim";"Rural";79.3609212672824
14;"RR";1400050;"Alto Alegre";"Feminino";"Preta";NA;"Rural";21.1074319845264
14;"RR";1400050;"Alto Alegre";"Masculino";"Amarela";"Não";"Rural";21.0668490102034
14;"RR";1400050;"Alto Alegre";"Masculino";"Amarela";"Sim";"Rural";25.1489567566538
14;"RR";1400050;"Alto Alegre";"Masculino";"Branca";"Não";"Rural";83.2468766519123
14;"RR";1400050;"Alto Alegre";"Masculino";"Branca";"Sim";"Rural";360.229249359938
14;"RR";1400050;"Alto Alegre";"Masculino";"Branca";NA;"Rural";35.7074200327455
14;"RR";1400050;"Alto Alegre";"Masculino";"Indígena";"Não";"Rural";2397.45376125683
14;"RR";1400050;"Alto Alegre";"Masculino";"Indígena";"Sim";"Rural";707.204450854394
14;"RR";1400050;"Alto Alegre";"Masculino";"Indígena";NA;"Rural";780.101208869007
14;"RR";1400050;"Alto Alegre";"Masculino";"Parda";"Não";"Rural";327.440230060174
14;"RR";1400050;"Alto Alegre";"Masculino";"Parda";"Sim";"Rural";1195.5111330767
14;"RR";1400050;"Alto Alegre";"Masculino";"Parda";NA;"Rural";168.714141966875
14;"RR";1400050;"Alto Alegre";"Masculino";"Preta";"Não";"Rural";51.3138516752085
14;"RR";1400050;"Alto Alegre";"Masculino";"Preta";"Sim";"Rural";102.371064322142
14;"RR";1400050;"Alto Alegre";"Masculino";"Preta";NA;"Rural";12.4908061072283
14;"RR";1400050;"Alto Alegre";"Feminino";"Amarela";"Não";"Urbana";4.8724538954086
14;"RR";1400050;"Alto Alegre";"Feminino";"Amarela";"Sim";"Urbana";19.2102201026099
14;"RR";1400050;"Alto Alegre";"Feminino";"Amarela";NA;"Urbana";4.0014939011596
14;"RR";1400050;"Alto Alegre";"Feminino";"Branca";"Não";"Urbana";69.9260596706428
14;"RR";1400050;"Alto Alegre";"Feminino";"Branca";"Sim";"Urbana";438.580361541556
14;"RR";1400050;"Alto Alegre";"Feminino";"Branca";NA;"Urbana";39.1863891770802
14;"RR";1400050;"Alto Alegre";"Feminino";"Indígena";"Sim";"Urbana";30.9715872995904
14;"RR";1400050;"Alto Alegre";"Feminino";"Indígena";NA;"Urbana";4.4626795900386
14;"RR";1400050;"Alto Alegre";"Feminino";"Parda";"Não";"Urbana";179.815022277163
14;"RR";1400050;"Alto Alegre";"Feminino";"Parda";"Sim";"Urbana";1232.54846604786
14;"RR";1400050;"Alto Alegre";"Feminino";"Parda";NA;"Urbana";154.1006885951
14;"RR";1400050;"Alto Alegre";"Feminino";"Preta";"Não";"Urbana";55.9840083953616
14;"RR";1400050;"Alto Alegre";"Feminino";"Preta";"Sim";"Urbana";130.892862025884
