"COD_UF";"NO_UF";"COD_MUN";"NO_MUN";"SEXO";"ETNIA";"LE_ESCREVE";"SIT_DOM";"POP"
43;"RS";4300034;"Aceguá";"Feminino";"Amarela";"Não";"Rural";3.3263367748478
43;"RS";4300034;"Aceguá";"Feminino";"Amarela";"Sim";"Rural";6.0620475559618
43;"RS";4300034;"Aceguá";"Feminino";"Branca";"Não";"Rural";50.7110222824089
43;"RS";4300034;"Aceguá";"Feminino";"Branca";"Sim";"Rural";1117.1847399552
43;"RS";4300034;"Aceguá";"Feminino";"Branca";NA;"Rural";100.041315075512
43;"RS";4300034;"Aceguá";"Feminino";"Parda";"Não";"Rural";17.3795663912306
43;"RS";4300034;"Aceguá";"Feminino";"Parda";"Sim";"Rural";132.63615187391
43;"RS";4300034;"Aceguá";"Feminino";"Parda";NA;"Rural";13.3023463741869
43;"RS";4300034;"Aceguá";"Feminino";"Preta";"Não";"Rural";15.8882607612642
43;"RS";4300034;"Aceguá";"Feminino";"Preta";"Sim";"Rural";100.468212955478
43;"RS";4300034;"Aceguá";"Masculino";"Amarela";"Não";"Rural";5.7909464178409
43;"RS";4300034;"Aceguá";"Masculino";"Amarela";"Sim";"Rural";22.8129271415306
43;"RS";4300034;"Aceguá";"Masculino";"Branca";"Não";"Rural";70.6785952272037
43;"RS";4300034;"Aceguá";"Masculino";"Branca";"Sim";"Rural";1233.21258774119
43;"RS";4300034;"Aceguá";"Masculino";"Branca";NA;"Rural";79.2487310132245
43;"RS";4300034;"Aceguá";"Masculino";"Parda";"Não";"Rural";14.9562479928055
43;"RS";4300034;"Aceguá";"Masculino";"Parda";"Sim";"Rural";169.673865435058
43;"RS";4300034;"Aceguá";"Masculino";"Parda";NA;"Rural";7.9087243325493
43;"RS";4300034;"Aceguá";"Masculino";"Preta";"Não";"Rural";27.3730478588747
43;"RS";4300034;"Aceguá";"Masculino";"Preta";"Sim";"Rural";132.886561165414
43;"RS";4300034;"Aceguá";"Masculino";"Preta";NA;"Rural";13.4577656743068
43;"RS";4300034;"Aceguá";"Feminino";"Branca";"Não";"Urbana";19.7184682515096
43;"RS";4300034;"Aceguá";"Feminino";"Branca";"Sim";"Urbana";401.67792199513
43;"RS";4300034;"Aceguá";"Feminino";"Branca";NA;"Urbana";26.8621548211612
43;"RS";4300034;"Aceguá";"Feminino";"Parda";"Sim";"Urbana";25.3040290664632
43;"RS";4300034;"Aceguá";"Feminino";"Parda";NA;"Urbana";2.5578244024073
43;"RS";4300034;"Aceguá";"Feminino";"Preta";"Não";"Urbana";2.5249196596288
43;"RS";4300034;"Aceguá";"Feminino";"Preta";"Sim";"Urbana";44.4478396105385
43;"RS";4300034;"Aceguá";"Feminino";"Preta";NA;"Urbana";10.9068421931625
43;"RS";4300034;"Aceguá";"Masculino";"Branca";"Não";"Urbana";27.0216651408691
43;"RS";4300034;"Aceguá";"Masculino";"Branca";"Sim";"Urbana";382.683996330059
43;"RS";4300034;"Aceguá";"Masculino";"Branca";NA;"Urbana";31.9233806868787
43;"RS";4300034;"Aceguá";"Masculino";"Parda";"Sim";"Urbana";16.4608739924646
43;"RS";4300034;"Aceguá";"Masculino";"Preta";"Não";"Urbana";3.1362952657328
43;"RS";4300034;"Aceguá";"Masculino";"Preta";"Sim";"Urbana";57.305112755437
43;"RS";4300034;"Aceguá";"Masculino";"Preta";NA;"Urbana";6.4686758285596
43;"RS";4300059;"Água Santa";"Feminino";"Branca";"Não";"Rural";38.2455897234478
43;"RS";4300059;"Água Santa";"Feminino";"Branca";"Sim";"Rural";804.796261630844
43;"RS";4300059;"Água Santa";"Feminino";"Branca";NA;"Rural";37.3302554129511
43;"RS";4300059;"Água Santa";"Feminino";"Indígena";"Não";"Rural";20.7635688537702
43;"RS";4300059;"Água Santa";"Feminino";"Indígena";"Sim";"Rural";79.0890334595708
43;"RS";4300059;"Água Santa";"Feminino";"Indígena";NA;"Rural";2.980555900005
43;"RS";4300059;"Água Santa";"Feminino";"Parda";"Não";"Rural";3.0224933289647
43;"RS";4300059;"Água Santa";"Feminino";"Parda";"Sim";"Rural";59.0221356678439
43;"RS";4300059;"Água Santa";"Feminino";"Parda";NA;"Rural";7.6268331448384
43;"RS";4300059;"Água Santa";"Feminino";"Preta";"Sim";"Rural";15.5948744070274
43;"RS";4300059;"Água Santa";"Feminino";"Preta";NA;"Rural";10.5283984707432
43;"RS";4300059;"Água Santa";"Masculino";"Amarela";"Não";"Rural";3.0928502968502
43;"RS";4300059;"Água Santa";"Masculino";"Amarela";"Sim";"Rural";3.2251487266389
43;"RS";4300059;"Água Santa";"Masculino";"Branca";"Não";"Rural";56.7956683110427
43;"RS";4300059;"Água Santa";"Masculino";"Branca";"Sim";"Rural";889.810004350079
43;"RS";4300059;"Água Santa";"Masculino";"Branca";NA;"Rural";53.5723055054225
43;"RS";4300059;"Água Santa";"Masculino";"Indígena";"Não";"Rural";12.705683600801
43;"RS";4300059;"Água Santa";"Masculino";"Indígena";"Sim";"Rural";81.5379851213386
43;"RS";4300059;"Água Santa";"Masculino";"Indígena";NA;"Rural";4.2506737156506
43;"RS";4300059;"Água Santa";"Masculino";"Parda";"Não";"Rural";8.5641513918278
43;"RS";4300059;"Água Santa";"Masculino";"Parda";"Sim";"Rural";52.4512321035547
43;"RS";4300059;"Água Santa";"Masculino";"Parda";NA;"Rural";2.942843247923
43;"RS";4300059;"Água Santa";"Masculino";"Preta";"Sim";"Rural";22.7190311734918
43;"RS";4300059;"Água Santa";"Masculino";"Preta";NA;"Rural";4.3324224553869
43;"RS";4300059;"Água Santa";"Feminino";"Branca";"Não";"Urbana";16.9610239069536
43;"RS";4300059;"Água Santa";"Feminino";"Branca";"Sim";"Urbana";566.286302978387
43;"RS";4300059;"Água Santa";"Feminino";"Branca";NA;"Urbana";50.2234419968713
43;"RS";4300059;"Água Santa";"Feminino";"Indígena";"Sim";"Urbana";10.6157231572798
43;"RS";4300059;"Água Santa";"Feminino";"Indígena";NA;"Urbana";3.7547677869477
43;"RS";4300059;"Água Santa";"Feminino";"Parda";"Não";"Urbana";14.0986090401234
43;"RS";4300059;"Água Santa";"Feminino";"Parda";"Sim";"Urbana";85.154035910724
43;"RS";4300059;"Água Santa";"Feminino";"Parda";NA;"Urbana";13.044816619005
43;"RS";4300059;"Água Santa";"Feminino";"Preta";"Sim";"Urbana";3.8612786037128
43;"RS";4300059;"Água Santa";"Masculino";"Branca";"Não";"Urbana";16.4335559192145
43;"RS";4300059;"Água Santa";"Masculino";"Branca";"Sim";"Urbana";503.610263411938
43;"RS";4300059;"Água Santa";"Masculino";"Branca";NA;"Urbana";49.1338218198741
43;"RS";4300059;"Água Santa";"Masculino";"Parda";"Não";"Urbana";17.1753639061163
43;"RS";4300059;"Água Santa";"Masculino";"Parda";"Sim";"Urbana";84.2763998441944
43;"RS";4300059;"Água Santa";"Masculino";"Parda";NA;"Urbana";6.7542315595408
43;"RS";4300059;"Água Santa";"Masculino";"Preta";"Não";"Urbana";3.0976976640459
43;"RS";4300059;"Água Santa";"Masculino";"Preta";"Sim";"Urbana";2.5186658750792
43;"RS";4300109;"Agudo";"Feminino";"Amarela";"Sim";"Rural";24.5221184651013
43;"RS";4300109;"Agudo";"Feminino";"Amarela";NA;"Rural";7.1369185177321
43;"RS";4300109;"Agudo";"Feminino";"Branca";"Não";"Rural";345.523503944165
43;"RS";4300109;"Agudo";"Feminino";"Branca";"Sim";"Rural";3713.06473045156
43;"RS";4300109;"Agudo";"Feminino";"Branca";NA;"Rural";243.561511154771
43;"RS";4300109;"Agudo";"Feminino";"Parda";"Não";"Rural";43.7118623633906
43;"RS";4300109;"Agudo";"Feminino";"Parda";"Sim";"Rural";218.319913130845
43;"RS";4300109;"Agudo";"Feminino";"Parda";NA;"Rural";7.1369185177321
43;"RS";4300109;"Agudo";"Feminino";"Preta";"Não";"Rural";49.5772487688469
43;"RS";4300109;"Agudo";"Feminino";"Preta";"Sim";"Rural";191.731181541501
43;"RS";4300109;"Agudo";"Feminino";"Preta";NA;"Rural";4.7140931443375
43;"RS";4300109;"Agudo";"Masculino";"Amarela";"Não";"Rural";6.2070679605611
43;"RS";4300109;"Agudo";"Masculino";"Amarela";"Sim";"Rural";29.8223932601204
43;"RS";4300109;"Agudo";"Masculino";"Branca";"Não";"Rural";270.061966025215
43;"RS";4300109;"Agudo";"Masculino";"Branca";"Sim";"Rural";3949.06240583428
43;"RS";4300109;"Agudo";"Masculino";"Branca";NA;"Rural";191.181096645777
43;"RS";4300109;"Agudo";"Masculino";"Parda";"Não";"Rural";74.6936931550755
43;"RS";4300109;"Agudo";"Masculino";"Parda";"Sim";"Rural";307.211187403659
43;"RS";4300109;"Agudo";"Masculino";"Parda";NA;"Rural";5.3994351461612
43;"RS";4300109;"Agudo";"Masculino";"Preta";"Não";"Rural";8.8567276865299
43;"RS";4300109;"Agudo";"Masculino";"Preta";"Sim";"Rural";132.620925183986
43;"RS";4300109;"Agudo";"Masculino";"Preta";NA;"Rural";8.8831016986115
43;"RS";4300109;"Agudo";"Feminino";"Amarela";"Sim";"Urbana";31.1395371849602
43;"RS";4300109;"Agudo";"Feminino";"Amarela";NA;"Urbana";6.6140988520044
43;"RS";4300109;"Agudo";"Feminino";"Branca";"Não";"Urbana";141.466086798797
43;"RS";4300109;"Agudo";"Feminino";"Branca";"Sim";"Urbana";2693.20890561756
43;"RS";4300109;"Agudo";"Feminino";"Branca";NA;"Urbana";156.972568612422
43;"RS";4300109;"Agudo";"Feminino";"Parda";"Não";"Urbana";65.3985495695405
43;"RS";4300109;"Agudo";"Feminino";"Parda";"Sim";"Urbana";316.846765571965
43;"RS";4300109;"Agudo";"Feminino";"Parda";NA;"Urbana";36.438745307765
43;"RS";4300109;"Agudo";"Feminino";"Preta";"Não";"Urbana";16.7949292198148
43;"RS";4300109;"Agudo";"Feminino";"Preta";"Sim";"Urbana";51.0994094616612
43;"RS";4300109;"Agudo";"Feminino";"Preta";NA;"Urbana";8.0204038034991
43;"RS";4300109;"Agudo";"Masculino";"Amarela";"Não";"Urbana";5.8198906683873
