"COD_UF";"NO_UF";"COD_MUN";"NO_MUN";"SEXO";"ETNIA";"LE_ESCREVE";"SIT_DOM";"POP"
42;"SC";4200051;"Abdon Batista";"Feminino";"Branca";"Não";"Rural";59.9060559454346
42;"SC";4200051;"Abdon Batista";"Feminino";"Branca";"Sim";"Rural";644.899512761047
42;"SC";4200051;"Abdon Batista";"Feminino";"Branca";NA;"Rural";51.7624308415053
42;"SC";4200051;"Abdon Batista";"Feminino";"Parda";"Não";"Rural";21.7805160944825
42;"SC";4200051;"Abdon Batista";"Feminino";"Parda";"Sim";"Rural";52.4062521970596
42;"SC";4200051;"Abdon Batista";"Feminino";"Parda";NA;"Rural";11.4198512550436
42;"SC";4200051;"Abdon Batista";"Feminino";"Preta";"Não";"Rural";17.1769322790641
42;"SC";4200051;"Abdon Batista";"Feminino";"Preta";"Sim";"Rural";45.8839830407124
42;"SC";4200051;"Abdon Batista";"Feminino";"Preta";NA;"Rural";2.7644655856524
42;"SC";4200051;"Abdon Batista";"Masculino";"Branca";"Não";"Rural";70.8114076789389
42;"SC";4200051;"Abdon Batista";"Masculino";"Branca";"Sim";"Rural";714.109972789371
42;"SC";4200051;"Abdon Batista";"Masculino";"Branca";NA;"Rural";45.4708406446015
42;"SC";4200051;"Abdon Batista";"Masculino";"Parda";"Não";"Rural";27.0532635198568
42;"SC";4200051;"Abdon Batista";"Masculino";"Parda";"Sim";"Rural";69.6875649689498
42;"SC";4200051;"Abdon Batista";"Masculino";"Parda";NA;"Rural";6.5317048847894
42;"SC";4200051;"Abdon Batista";"Masculino";"Preta";"Não";"Rural";14.3592197792004
42;"SC";4200051;"Abdon Batista";"Masculino";"Preta";"Sim";"Rural";69.6917518930865
42;"SC";4200051;"Abdon Batista";"Masculino";"Preta";NA;"Rural";3.2842738412072
42;"SC";4200051;"Abdon Batista";"Feminino";"Branca";"Não";"Urbana";19.0095469225238
42;"SC";4200051;"Abdon Batista";"Feminino";"Branca";"Sim";"Urbana";275.303667129504
42;"SC";4200051;"Abdon Batista";"Feminino";"Branca";NA;"Urbana";15.9876420123093
42;"SC";4200051;"Abdon Batista";"Feminino";"Parda";"Não";"Urbana";8.2606201455716
42;"SC";4200051;"Abdon Batista";"Feminino";"Parda";"Sim";"Urbana";22.7266149292593
42;"SC";4200051;"Abdon Batista";"Feminino";"Preta";"Não";"Urbana";10.1564699652772
42;"SC";4200051;"Abdon Batista";"Feminino";"Preta";"Sim";"Urbana";7.9011139745512
42;"SC";4200051;"Abdon Batista";"Feminino";"Preta";NA;"Urbana";3.6543249210039
42;"SC";4200051;"Abdon Batista";"Masculino";"Branca";"Não";"Urbana";10.3078293407564
42;"SC";4200051;"Abdon Batista";"Masculino";"Branca";"Sim";"Urbana";264.961240627204
42;"SC";4200051;"Abdon Batista";"Masculino";"Branca";NA;"Urbana";21.2350020285141
42;"SC";4200051;"Abdon Batista";"Masculino";"Parda";"Não";"Urbana";7.5497413282297
42;"SC";4200051;"Abdon Batista";"Masculino";"Parda";"Sim";"Urbana";27.9256279724563
42;"SC";4200051;"Abdon Batista";"Masculino";"Preta";"Não";"Urbana";10.9629747630117
42;"SC";4200051;"Abdon Batista";"Masculino";"Preta";"Sim";"Urbana";14.4032590188245
42;"SC";4200051;"Abdon Batista";"Masculino";"Preta";NA;"Urbana";3.6543249210039
42;"SC";4200101;"Abelardo Luz";"Feminino";"Amarela";"Sim";"Rural";14.9394573826371
42;"SC";4200101;"Abelardo Luz";"Feminino";"Branca";"Não";"Rural";183.367775577348
42;"SC";4200101;"Abelardo Luz";"Feminino";"Branca";"Sim";"Rural";1688.98267841624
42;"SC";4200101;"Abelardo Luz";"Feminino";"Branca";NA;"Rural";134.919819585985
42;"SC";4200101;"Abelardo Luz";"Feminino";"Indígena";"Não";"Rural";11.6622822737883
42;"SC";4200101;"Abelardo Luz";"Feminino";"Indígena";"Sim";"Rural";76.2938947087547
42;"SC";4200101;"Abelardo Luz";"Feminino";"Indígena";NA;"Rural";9.7659990909037
42;"SC";4200101;"Abelardo Luz";"Feminino";"Parda";"Não";"Rural";197.295100123534
42;"SC";4200101;"Abelardo Luz";"Feminino";"Parda";"Sim";"Rural";949.406174666676
42;"SC";4200101;"Abelardo Luz";"Feminino";"Parda";NA;"Rural";83.0339538329099
42;"SC";4200101;"Abelardo Luz";"Feminino";"Preta";"Não";"Rural";40.5378855932544
42;"SC";4200101;"Abelardo Luz";"Feminino";"Preta";"Sim";"Rural";136.972429131721
42;"SC";4200101;"Abelardo Luz";"Feminino";"Preta";NA;"Rural";9.8225496164208
42;"SC";4200101;"Abelardo Luz";"Masculino";"Amarela";"Sim";"Rural";15.6806143083249
42;"SC";4200101;"Abelardo Luz";"Masculino";"Amarela";NA;"Rural";4.2400458967813
42;"SC";4200101;"Abelardo Luz";"Masculino";"Branca";"Não";"Rural";242.501051749485
42;"SC";4200101;"Abelardo Luz";"Masculino";"Branca";"Sim";"Rural";1741.81907498323
42;"SC";4200101;"Abelardo Luz";"Masculino";"Branca";NA;"Rural";172.778424962464
42;"SC";4200101;"Abelardo Luz";"Masculino";"Indígena";"Não";"Rural";4.9996299917825
42;"SC";4200101;"Abelardo Luz";"Masculino";"Indígena";"Sim";"Rural";93.3262769896236
42;"SC";4200101;"Abelardo Luz";"Masculino";"Indígena";NA;"Rural";21.1346241184596
42;"SC";4200101;"Abelardo Luz";"Masculino";"Parda";"Não";"Rural";227.115461282713
42;"SC";4200101;"Abelardo Luz";"Masculino";"Parda";"Sim";"Rural";1156.15889196096
42;"SC";4200101;"Abelardo Luz";"Masculino";"Parda";NA;"Rural";104.255366149955
42;"SC";4200101;"Abelardo Luz";"Masculino";"Preta";"Não";"Rural";49.3581964593647
42;"SC";4200101;"Abelardo Luz";"Masculino";"Preta";"Sim";"Rural";154.273282577057
42;"SC";4200101;"Abelardo Luz";"Masculino";"Preta";NA;"Rural";5.359058569987
42;"SC";4200101;"Abelardo Luz";"Feminino";"Amarela";"Não";"Urbana";3.62939246606
42;"SC";4200101;"Abelardo Luz";"Feminino";"Amarela";"Sim";"Urbana";38.8009555567826
42;"SC";4200101;"Abelardo Luz";"Feminino";"Amarela";NA;"Urbana";4.5689384752788
42;"SC";4200101;"Abelardo Luz";"Feminino";"Branca";"Não";"Urbana";259.645713696294
42;"SC";4200101;"Abelardo Luz";"Feminino";"Branca";"Sim";"Urbana";2872.36269353605
42;"SC";4200101;"Abelardo Luz";"Feminino";"Branca";NA;"Urbana";295.844851400924
42;"SC";4200101;"Abelardo Luz";"Feminino";"Indígena";"Não";"Urbana";25.8131793020593
42;"SC";4200101;"Abelardo Luz";"Feminino";"Indígena";"Sim";"Urbana";85.6463127600869
42;"SC";4200101;"Abelardo Luz";"Feminino";"Indígena";NA;"Urbana";10.2709145794579
42;"SC";4200101;"Abelardo Luz";"Feminino";"Parda";"Não";"Urbana";152.882638216612
42;"SC";4200101;"Abelardo Luz";"Feminino";"Parda";"Sim";"Urbana";868.272329869467
42;"SC";4200101;"Abelardo Luz";"Feminino";"Parda";NA;"Urbana";81.1804761028467
42;"SC";4200101;"Abelardo Luz";"Feminino";"Preta";"Não";"Urbana";35.6042329762612
42;"SC";4200101;"Abelardo Luz";"Feminino";"Preta";"Sim";"Urbana";195.40069129263
42;"SC";4200101;"Abelardo Luz";"Feminino";"Preta";NA;"Urbana";5.0766797694004
42;"SC";4200101;"Abelardo Luz";"Masculino";"Amarela";"Não";"Urbana";9.2389436453879
42;"SC";4200101;"Abelardo Luz";"Masculino";"Amarela";"Sim";"Urbana";19.8028717024646
