"COD_UF";"NO_UF";"COD_MUN";"NO_MUN";"SEXO";"ETNIA";"LE_ESCREVE";"SIT_DOM";"POP"
28;"SE";2800100;"Amparo de São Francisco";"Feminino";"Branca";"Não";"Rural";2.4075461540658
28;"SE";2800100;"Amparo de São Francisco";"Feminino";"Branca";"Sim";"Rural";15.1447730718752
28;"SE";2800100;"Amparo de São Francisco";"Feminino";"Parda";"Não";"Rural";18.9593555127921
28;"SE";2800100;"Amparo de São Francisco";"Feminino";"Parda";"Sim";"Rural";101.799528328639
28;"SE";2800100;"Amparo de São Francisco";"Feminino";"Parda";NA;"Rural";22.1672021459544
28;"SE";2800100;"Amparo de São Francisco";"Feminino";"Preta";"Não";"Rural";9.761665843353
28;"SE";2800100;"Amparo de São Francisco";"Feminino";"Preta";"Sim";"Rural";45.6172083923439
28;"SE";2800100;"Amparo de São Francisco";"Feminino";"Preta";NA;"Rural";4.1427205509773
28;"SE";2800100;"Amparo de São Francisco";"Masculino";"Branca";"Não";"Rural";4.6785939234062
28;"SE";2800100;"Amparo de São Francisco";"Masculino";"Branca";"Sim";"Rural";9.8118357446674
28;"SE";2800100;"Amparo de São Francisco";"Masculino";"Branca";NA;"Rural";2.4075461540658
28;"SE";2800100;"Amparo de São Francisco";"Masculino";"Parda";"Não";"Rural";21.6822000004723
28;"SE";2800100;"Amparo de São Francisco";"Masculino";"Parda";"Sim";"Rural";100.197268796995
28;"SE";2800100;"Amparo de São Francisco";"Masculino";"Parda";NA;"Rural";13.2754870500792
28;"SE";2800100;"Amparo de São Francisco";"Masculino";"Preta";"Não";"Rural";10.1391147820459
28;"SE";2800100;"Amparo de São Francisco";"Masculino";"Preta";"Sim";"Rural";48.9086756516103
28;"SE";2800100;"Amparo de São Francisco";"Masculino";"Preta";NA;"Rural";3.8992778966591
28;"SE";2800100;"Amparo de São Francisco";"Feminino";"Amarela";"Não";"Urbana";4.5843927765041
28;"SE";2800100;"Amparo de São Francisco";"Feminino";"Amarela";"Sim";"Urbana";4.935893797701
28;"SE";2800100;"Amparo de São Francisco";"Feminino";"Branca";"Não";"Urbana";34.1095991861616
28;"SE";2800100;"Amparo de São Francisco";"Feminino";"Branca";"Sim";"Urbana";160.287270000355
28;"SE";2800100;"Amparo de São Francisco";"Feminino";"Branca";NA;"Urbana";22.3900215847884
28;"SE";2800100;"Amparo de São Francisco";"Feminino";"Parda";"Não";"Urbana";101.838031338873
28;"SE";2800100;"Amparo de São Francisco";"Feminino";"Parda";"Sim";"Urbana";494.696271904895
28;"SE";2800100;"Amparo de São Francisco";"Feminino";"Parda";NA;"Urbana";40.9188762011537
28;"SE";2800100;"Amparo de São Francisco";"Feminino";"Preta";"Não";"Urbana";10.7960220392392
28;"SE";2800100;"Amparo de São Francisco";"Feminino";"Preta";"Sim";"Urbana";41.1421410720636
28;"SE";2800100;"Amparo de São Francisco";"Feminino";"Preta";NA;"Urbana";4.3014800982675
28;"SE";2800100;"Amparo de São Francisco";"Masculino";"Amarela";"Não";"Urbana";2.2874465660444
28;"SE";2800100;"Amparo de São Francisco";"Masculino";"Branca";"Não";"Urbana";32.605934588823
28;"SE";2800100;"Amparo de São Francisco";"Masculino";"Branca";"Sim";"Urbana";134.932464942305
28;"SE";2800100;"Amparo de São Francisco";"Masculino";"Branca";NA;"Urbana";24.1459564437074
28;"SE";2800100;"Amparo de São Francisco";"Masculino";"Parda";"Não";"Urbana";150.009968205202
28;"SE";2800100;"Amparo de São Francisco";"Masculino";"Parda";"Sim";"Urbana";442.617666838017
28;"SE";2800100;"Amparo de São Francisco";"Masculino";"Parda";NA;"Urbana";56.4164175717671
28;"SE";2800100;"Amparo de São Francisco";"Masculino";"Preta";"Não";"Urbana";15.1181731869532
28;"SE";2800100;"Amparo de São Francisco";"Masculino";"Preta";"Sim";"Urbana";54.9146179445998
28;"SE";2800100;"Amparo de São Francisco";"Masculino";"Preta";NA;"Urbana";6.9513537125828
28;"SE";2800209;"Aquidabã";"Feminino";"Amarela";"Não";"Rural";9.1902493333484
28;"SE";2800209;"Aquidabã";"Feminino";"Amarela";"Sim";"Rural";104.7604154434
28;"SE";2800209;"Aquidabã";"Feminino";"Branca";"Não";"Rural";233.017796517495
28;"SE";2800209;"Aquidabã";"Feminino";"Branca";"Sim";"Rural";574.87456222469
28;"SE";2800209;"Aquidabã";"Feminino";"Branca";NA;"Rural";94.6501633509757
28;"SE";2800209;"Aquidabã";"Feminino";"Parda";"Não";"Rural";830.165897544884
28;"SE";2800209;"Aquidabã";"Feminino";"Parda";"Sim";"Rural";1987.78562552157
28;"SE";2800209;"Aquidabã";"Feminino";"Parda";NA;"Rural";181.765520727294
28;"SE";2800209;"Aquidabã";"Feminino";"Preta";"Não";"Rural";68.1317858239392
28;"SE";2800209;"Aquidabã";"Feminino";"Preta";"Sim";"Rural";128.451825430361
28;"SE";2800209;"Aquidabã";"Feminino";"Preta";NA;"Rural";22.2061580820257
28;"SE";2800209;"Aquidabã";"Masculino";"Amarela";"Não";"Rural";37.8478269089856
28;"SE";2800209;"Aquidabã";"Masculino";"Amarela";"Sim";"Rural";72.2198935234489
28;"SE";2800209;"Aquidabã";"Masculino";"Branca";"Não";"Rural";251.416456989357
28;"SE";2800209;"Aquidabã";"Masculino";"Branca";"Sim";"Rural";505.592249431048
28;"SE";2800209;"Aquidabã";"Masculino";"Branca";NA;"Rural";102.358822996698
28;"SE";2800209;"Aquidabã";"Masculino";"Parda";"Não";"Rural";1120.13232372753
28;"SE";2800209;"Aquidabã";"Masculino";"Parda";"Sim";"Rural";1718.89089822663
28;"SE";2800209;"Aquidabã";"Masculino";"Parda";NA;"Rural";264.170812455551
28;"SE";2800209;"Aquidabã";"Masculino";"Preta";"Não";"Rural";128.513716856686
28;"SE";2800209;"Aquidabã";"Masculino";"Preta";"Sim";"Rural";137.485249027978
28;"SE";2800209;"Aquidabã";"Masculino";"Preta";NA;"Rural";25.3717498560555
28;"SE";2800209;"Aquidabã";"Feminino";"Amarela";"Não";"Urbana";40.2971742362371
28;"SE";2800209;"Aquidabã";"Feminino";"Amarela";"Sim";"Urbana";99.1173855286068
28;"SE";2800209;"Aquidabã";"Feminino";"Amarela";NA;"Urbana";9.9612792104805
28;"SE";2800209;"Aquidabã";"Feminino";"Branca";"Não";"Urbana";206.880377190304
28;"SE";2800209;"Aquidabã";"Feminino";"Branca";"Sim";"Urbana";1465.95975236647
28;"SE";2800209;"Aquidabã";"Feminino";"Branca";NA;"Urbana";189.363693927189
28;"SE";2800209;"Aquidabã";"Feminino";"Parda";"Não";"Urbana";840.275268817286
28;"SE";2800209;"Aquidabã";"Feminino";"Parda";"Sim";"Urbana";2763.10564265595
28;"SE";2800209;"Aquidabã";"Feminino";"Parda";NA;"Urbana";288.902664414151
28;"SE";2800209;"Aquidabã";"Feminino";"Preta";"Não";"Urbana";33.1645014084493
28;"SE";2800209;"Aquidabã";"Feminino";"Preta";"Sim";"Urbana";66.4623229740512
28;"SE";2800209;"Aquidabã";"Feminino";"Preta";NA;"Urbana";12.509937270801
28;"SE";2800209;"Aquidabã";"Masculino";"Amarela";"Não";"Urbana";15.4623063687472
28;"SE";2800209;"Aquidabã";"Masculino";"Amarela";"Sim";"Urbana";89.2029994764643
28;"SE";2800209;"Aquidabã";"Masculino";"Amarela";NA;"Urbana";4.2395996220127
28;"SE";2800209;"Aquidabã";"Masculino";"Branca";"Não";"Urbana";381.123372562115
28;"SE";2800209;"Aquidabã";"Masculino";"Branca";"Sim";"Urbana";1150.87579060749
28;"SE";2800209;"Aquidabã";"Masculino";"Branca";NA;"Urbana";167.191208824449
28;"SE";2800209;"Aquidabã";"Masculino";"Parda";"Não";"Urbana";870.252097033361
28;"SE";2800209;"Aquidabã";"Masculino";"Parda";"Sim";"Urbana";2378.06645979825
28;"SE";2800209;"Aquidabã";"Masculino";"Parda";NA;"Urbana";235.857402703148
28;"SE";2800209;"Aquidabã";"Masculino";"Preta";"Não";"Urbana";27.0352919969915
28;"SE";2800209;"Aquidabã";"Masculino";"Preta";"Sim";"Urbana";116.318499872311
28;"SE";2800209;"Aquidabã";"Masculino";"Preta";NA;"Urbana";5.3749711346411
28;"SE";2800308;"Aracaju";"Feminino";"Amarela";"Não";"Urbana";209.801080819521
28;"SE";2800308;"Aracaju";"Feminino";"Amarela";"Sim";"Urbana";4318.25401356851
28;"SE";2800308;"Aracaju";"Feminino";"Amarela";NA;"Urbana";346.355651938254
28;"SE";2800308;"Aracaju";"Feminino";"Branca";"Não";"Urbana";5536.80221043558
28;"SE";2800308;"Aracaju";"Feminino";"Branca";"Sim";"Urbana";87029.5037896628
28;"SE";2800308;"Aracaju";"Feminino";"Branca";NA;"Urbana";8043.09741718598
28;"SE";2800308;"Aracaju";"Feminino";"Ignorado";"Não";"Urbana";147.776259785413
28;"SE";2800308;"Aracaju";"Feminino";"Ignorado";"Sim";"Urbana";53.2438663409243
28;"SE";2800308;"Aracaju";"Feminino";"Indígena";"Não";"Urbana";52.7919234657146
28;"SE";2800308;"Aracaju";"Feminino";"Indígena";"Sim";"Urbana";1151.82661382732
28;"SE";2800308;"Aracaju";"Feminino";"Indígena";NA;"Urbana";27.2629262843189
28;"SE";2800308;"Aracaju";"Feminino";"Parda";"Não";"Urbana";12554.8921722519
28;"SE";2800308;"Aracaju";"Feminino";"Parda";"Sim";"Urbana";146706.652808079
28;"SE";2800308;"Aracaju";"Feminino";"Parda";NA;"Urbana";10029.8290375643
28;"SE";2800308;"Aracaju";"Feminino";"Preta";"Não";"Urbana";3297.51294691966
28;"SE";2800308;"Aracaju";"Feminino";"Preta";"Sim";"Urbana";24927.9910107102
28;"SE";2800308;"Aracaju";"Feminino";"Preta";NA;"Urbana";1231.40627116046
28;"SE";2800308;"Aracaju";"Masculino";"Amarela";"Não";"Urbana";164.907750121572
28;"SE";2800308;"Aracaju";"Masculino";"Amarela";"Sim";"Urbana";2461.01440459026
28;"SE";2800308;"Aracaju";"Masculino";"Amarela";NA;"Urbana";310.632003981225
28;"SE";2800308;"Aracaju";"Masculino";"Branca";"Não";"Urbana";4191.03318676758
28;"SE";2800308;"Aracaju";"Masculino";"Branca";"Sim";"Urbana";70516.8721272356
28;"SE";2800308;"Aracaju";"Masculino";"Branca";NA;"Urbana";8374.31301896859
28;"SE";2800308;"Aracaju";"Masculino";"Ignorado";"Não";"Urbana";53.124899497095
28;"SE";2800308;"Aracaju";"Masculino";"Ignorado";"Sim";"Urbana";50.2243939208904
28;"SE";2800308;"Aracaju";"Masculino";"Indígena";"Não";"Urbana";22.8028606737829
28;"SE";2800308;"Aracaju";"Masculino";"Indígena";"Sim";"Urbana";1041.29038171409
28;"SE";2800308;"Aracaju";"Masculino";"Indígena";NA;"Urbana";61.639018042135
28;"SE";2800308;"Aracaju";"Masculino";"Parda";"Não";"Urbana";11718.9128517415
28;"SE";2800308;"Aracaju";"Masculino";"Parda";"Sim";"Urbana";124934.903982863
28;"SE";2800308;"Aracaju";"Masculino";"Parda";NA;"Urbana";10613.9864577909
28;"SE";2800308;"Aracaju";"Masculino";"Preta";"Não";"Urbana";2861.59530064233
28;"SE";2800308;"Aracaju";"Masculino";"Preta";"Sim";"Urbana";26535.3461964128
28;"SE";2800308;"Aracaju";"Masculino";"Preta";NA;"Urbana";1571.40116503607
28;"SE";2800407;"Arauá";"Feminino";"Amarela";"Não";"Rural";18.0605746280157
28;"SE";2800407;"Arauá";"Feminino";"Amarela";"Sim";"Rural";32.6339568418914
28;"SE";2800407;"Arauá";"Feminino";"Amarela";NA;"Rural";5.4600887312291
28;"SE";2800407;"Arauá";"Feminino";"Branca";"Não";"Rural";124.873670498054
28;"SE";2800407;"Arauá";"Feminino";"Branca";"Sim";"Rural";359.75609805411
