"COD_UF";"NO_UF";"COD_MUN";"NO_MUN";"SEXO";"ETNIA";"LE_ESCREVE";"SIT_DOM";"POP"
35;"SP";3500105;"Adamantina";"Feminino";"Amarela";"Sim";"Rural";47.3650206971919
35;"SP";3500105;"Adamantina";"Feminino";"Branca";"Não";"Rural";92.7265278764897
35;"SP";3500105;"Adamantina";"Feminino";"Branca";"Sim";"Rural";486.571473089592
35;"SP";3500105;"Adamantina";"Feminino";"Branca";NA;"Rural";64.891016478395
35;"SP";3500105;"Adamantina";"Feminino";"Parda";"Não";"Rural";20.1512617202805
35;"SP";3500105;"Adamantina";"Feminino";"Parda";"Sim";"Rural";104.775332500044
35;"SP";3500105;"Adamantina";"Feminino";"Preta";"Sim";"Rural";10.5193676380078
35;"SP";3500105;"Adamantina";"Masculino";"Amarela";"Sim";"Rural";28.4452762147334
35;"SP";3500105;"Adamantina";"Masculino";"Branca";"Não";"Rural";35.5322928496366
35;"SP";3500105;"Adamantina";"Masculino";"Branca";"Sim";"Rural";703.150196261114
35;"SP";3500105;"Adamantina";"Masculino";"Branca";NA;"Rural";18.6509188201825
35;"SP";3500105;"Adamantina";"Masculino";"Parda";"Não";"Rural";15.1685966316385
35;"SP";3500105;"Adamantina";"Masculino";"Parda";"Sim";"Rural";207.858899961041
35;"SP";3500105;"Adamantina";"Masculino";"Preta";"Sim";"Rural";13.1938192616531
35;"SP";3500105;"Adamantina";"Feminino";"Amarela";"Não";"Urbana";25.8363401453451
35;"SP";3500105;"Adamantina";"Feminino";"Amarela";"Sim";"Urbana";317.888114584671
35;"SP";3500105;"Adamantina";"Feminino";"Branca";"Não";"Urbana";690.019091848971
35;"SP";3500105;"Adamantina";"Feminino";"Branca";"Sim";"Urbana";11109.0430309591
35;"SP";3500105;"Adamantina";"Feminino";"Branca";NA;"Urbana";676.311066070774
35;"SP";3500105;"Adamantina";"Feminino";"Indígena";"Sim";"Urbana";13.2069328712544
35;"SP";3500105;"Adamantina";"Feminino";"Parda";"Não";"Urbana";464.037438577512
35;"SP";3500105;"Adamantina";"Feminino";"Parda";"Sim";"Urbana";2810.76648412748
35;"SP";3500105;"Adamantina";"Feminino";"Parda";NA;"Urbana";121.549476371135
