"COD_UF";"NO_UF";"COD_MUN";"NO_MUN";"SEXO";"ETNIA";"LE_ESCREVE";"SIT_DOM";"POP"
17;"TO";1700251;"Abreulândia";"Feminino";"Amarela";"Sim";"Rural";6.7093479436417
17;"TO";1700251;"Abreulândia";"Feminino";"Amarela";NA;"Rural";2.1896149588471
17;"TO";1700251;"Abreulândia";"Feminino";"Branca";"Não";"Rural";3.5582913378461
17;"TO";1700251;"Abreulândia";"Feminino";"Branca";"Sim";"Rural";70.9904335181825
17;"TO";1700251;"Abreulândia";"Feminino";"Branca";NA;"Rural";24.2367839605112
17;"TO";1700251;"Abreulândia";"Feminino";"Parda";"Não";"Rural";29.1978513026526
17;"TO";1700251;"Abreulândia";"Feminino";"Parda";"Sim";"Rural";205.513084909557
17;"TO";1700251;"Abreulândia";"Feminino";"Parda";NA;"Rural";23.3770570883214
17;"TO";1700251;"Abreulândia";"Feminino";"Preta";"Não";"Rural";3.8354629701333
17;"TO";1700251;"Abreulândia";"Feminino";"Preta";"Sim";"Rural";24.8973113909776
17;"TO";1700251;"Abreulândia";"Feminino";"Preta";NA;"Rural";7.4947606193308
17;"TO";1700251;"Abreulândia";"Masculino";"Amarela";"Não";"Rural";2.2988699679385
17;"TO";1700251;"Abreulândia";"Masculino";"Amarela";"Sim";"Rural";10.2742157070307
17;"TO";1700251;"Abreulândia";"Masculino";"Branca";"Não";"Rural";24.6930585378408
17;"TO";1700251;"Abreulândia";"Masculino";"Branca";"Sim";"Rural";98.701610288801
17;"TO";1700251;"Abreulândia";"Masculino";"Branca";NA;"Rural";16.1940206572813
17;"TO";1700251;"Abreulândia";"Masculino";"Parda";"Não";"Rural";63.0842937870642
17;"TO";1700251;"Abreulândia";"Masculino";"Parda";"Sim";"Rural";235.614742759287
17;"TO";1700251;"Abreulândia";"Masculino";"Parda";NA;"Rural";32.2939176280228
17;"TO";1700251;"Abreulândia";"Masculino";"Preta";"Não";"Rural";6.5841209103275
17;"TO";1700251;"Abreulândia";"Masculino";"Preta";"Sim";"Rural";23.2611497564083
17;"TO";1700251;"Abreulândia";"Feminino";"Amarela";"Não";"Urbana";2.5293934467308
17;"TO";1700251;"Abreulândia";"Feminino";"Amarela";"Sim";"Urbana";7.9422154870295
17;"TO";1700251;"Abreulândia";"Feminino";"Branca";"Não";"Urbana";22.4257086233712
17;"TO";1700251;"Abreulândia";"Feminino";"Branca";"Sim";"Urbana";153.07739439902
17;"TO";1700251;"Abreulândia";"Feminino";"Branca";NA;"Urbana";18.772491285328
17;"TO";1700251;"Abreulândia";"Feminino";"Parda";"Não";"Urbana";45.2463462701595
17;"TO";1700251;"Abreulândia";"Feminino";"Parda";"Sim";"Urbana";385.985736495672
17;"TO";1700251;"Abreulândia";"Feminino";"Parda";NA;"Urbana";41.4752153304968
17;"TO";1700251;"Abreulândia";"Feminino";"Preta";"Não";"Urbana";8.7264840556061
17;"TO";1700251;"Abreulândia";"Feminino";"Preta";"Sim";"Urbana";37.4767861300266
17;"TO";1700251;"Abreulândia";"Feminino";"Preta";NA;"Urbana";4.3422284765607
17;"TO";1700251;"Abreulândia";"Masculino";"Amarela";"Não";"Urbana";4.0602679845932
17;"TO";1700251;"Abreulândia";"Masculino";"Amarela";"Sim";"Urbana";13.3738867925836
17;"TO";1700251;"Abreulândia";"Masculino";"Amarela";NA;"Urbana";2.5293934467308
17;"TO";1700251;"Abreulândia";"Masculino";"Branca";"Não";"Urbana";22.9614981614466
17;"TO";1700251;"Abreulândia";"Masculino";"Branca";"Sim";"Urbana";185.949085237641
17;"TO";1700251;"Abreulândia";"Masculino";"Branca";NA;"Urbana";15.1220859053886
17;"TO";1700251;"Abreulândia";"Masculino";"Indígena";"Sim";"Urbana";2.4141753746996
17;"TO";1700251;"Abreulândia";"Masculino";"Parda";"Não";"Urbana";50.9167990446119
17;"TO";1700251;"Abreulândia";"Masculino";"Parda";"Sim";"Urbana";364.276496757163
