COD_MUN,NO_MUN,SIT_DOM,Total_Population
1302603,Manaus,Rural,9133.000000000035
1302603,Manaus,Urbana,1792881.0000000298
1501402,Belém,Rural,11924.000000000075
1501402,Belém,Urbana,1381474.9999999953
2111300,São Luís,Rural,56292.000000000015
2111300,São Luís,Urbana,958544.9999999952
2211001,Teresina,Rural,46670.999999999985
2211001,Teresina,Urbana,767558.9999999973
2304400,Fortaleza,Urbana,2452185.000000022
2408102,Natal,Urbana,803739.0000000012
2507507,João Pessoa,Rural,2560.626514259492
2507507,João Pessoa,Urbana,720954.3734857341
2607901,Jaboatão dos Guararapes,Rural,14024.999999999927
2607901,Jaboatão dos Guararapes,Urbana,630595.0000000003
2611606,Recife,Urbana,1537703.999999996
2704302,Maceió,Rural,670.4417617065842
2704302,Maceió,Urbana,932077.5582382897
2800308,Aracaju,Urbana,571148.9999999993
2910800,Feira de Santana,Rural,46006.9999999996
2910800,Feira de Santana,Urbana,510635.0000000005
2927408,Salvador,Rural,733.0000000000034
2927408,Salvador,Urbana,2674923.000000054
3106200,Belo Horizonte,Urbana,2375151.000000014
3118601,Contagem,Rural,2041.9999999998379
3118601,Contagem,Urbana,601399.9999999924
3136702,Juiz de Fora,Rural,5868.999999999981
3136702,Juiz de Fora,Urbana,510378.00000000006
3170206,Uberlândia,Rural,16746.999999999996
3170206,Uberlândia,Urbana,587266.0000000048
3301702,Duque de Caxias,Rural,2910
3301702,Duque de Caxias,Urbana,852137.9999999993
3303500,Nova Iguaçu,Rural,8693.999999999965
3303500,Nova Iguaçu,Urbana,787563.0000000111
3304557,Rio de Janeiro,Urbana,6320445.999999974
3304904,São Gonçalo,Rural,728.9999999995733
3304904,São Gonçalo,Urbana,998998.9999999319
3509502,Campinas,Rural,18572.999999999938
3509502,Campinas,Urbana,1061540.0000000182
3518800,Guarulhos,Urbana,1221979.0000000051
3534401,Osasco,Urbana,666739.9999999977
3543402,Ribeirão Preto,Rural,1495.5306634368246
3543402,Ribeirão Preto,Urbana,603186.4693365676
3547809,Santo André,Urbana,676407.0000000007
3548708,São Bernardo do Campo,Rural,12805.000000000004
3548708,São Bernardo do Campo,Urbana,752657.9999999973
3549904,São José dos Campos,Rural,12801.999999999804
3549904,São José dos Campos,Urbana,617118.9999999574
3550308,São Paulo,Rural,100535.38908774272
3550308,São Paulo,Urbana,11152967.610912265
3552205,Sorocaba,Rural,6004.229284898169
3552205,Sorocaba,Urbana,580620.7707151066
4106902,Curitiba,Urbana,1751907.0000000028
4113700,Londrina,Rural,13181.000000000076
4113700,Londrina,Urbana,493519.9999999991
4209102,Joinville,Rural,17438.000000000295
4209102,Joinville,Urbana,497850.0000000019
4314902,Porto Alegre,Urbana,1409351.0000000012
5002704,Campo Grande,Rural,10555
5002704,Campo Grande,Urbana,776242.000000001
5103403,Cuiabá,Rural,10283.999999999978
5103403,Cuiabá,Urbana,540813.9999999837
5208707,Goiânia,Rural,4847.0502158395575
5208707,Goiânia,Urbana,1297153.9497841652
5300108,Brasília,Rural,88887.82105072882
5300108,Brasília,Urbana,2481272.178949249
