COD_MUN,NO_MUN,ETNIA,Total_Population
1302603,Manaus,Amarela,21181.417855675754
1302603,Manaus,Branca,475996.6595385646
1302603,Manaus,Ignorado,54.993177227050495
1302603,Manaus,Indígena,4405.50978865869
1302603,Manaus,Parda,1225066.7903319604
1302603,Manaus,Preta,75308.62930794328
1501402,Belém,Amarela,11508.02573462469
1501402,Belém,Branca,372489.83060147765
1501402,Belém,Ignorado,1045.797704668995
1501402,Belém,Indígena,1892.8923794525604
1501402,Belém,Parda,904379.2211301452
1501402,Belém,Preta,102083.23244962635
2111300,São Luís,Amarela,11073.92775828336
2111300,São Luís,Branca,295486.8276550823
2111300,São Luís,Ignorado,14.1357947828177
2111300,São Luís,Indígena,1754.075837086944
2111300,São Luís,Parda,574918.7687722923
2111300,São Luís,Preta,131589.26418246754
2211001,Teresina,Amarela,20295.69644087011
2211001,Teresina,Branca,213237.81009474845
2211001,Teresina,Indígena,1753.723280689892
2211001,Teresina,Parda,489354.28190321405
2211001,Teresina,Preta,89588.48828047478
2304400,Fortaleza,Amarela,32732.406925882406
2304400,Fortaleza,Branca,888933.2888779303
2304400,Fortaleza,Ignorado,23.726986049224
2304400,Fortaleza,Indígena,3315.1241856255483
2304400,Fortaleza,Parda,1418831.8123078952
2304400,Fortaleza,Preta,108348.6407166394
2408102,Natal,Amarela,8417.457441987366
2408102,Natal,Branca,356123.2834485159
2408102,Natal,Indígena,1003.2709268402664
2408102,Natal,Parda,400567.9288461639
2408102,Natal,Preta,37627.05933649365
2507507,João Pessoa,Amarela,9787.440449451835
2507507,João Pessoa,Branca,324183.01219858316
2507507,João Pessoa,Indígena,2259.1704170824373
2507507,João Pessoa,Parda,339541.4422069085
2507507,João Pessoa,Preta,47743.934727967666
2607901,Jaboatão dos Guararapes,Amarela,7169.739405854177
2607901,Jaboatão dos Guararapes,Branca,235911.078023811
2607901,Jaboatão dos Guararapes,Indígena,1686.185989877901
2607901,Jaboatão dos Guararapes,Parda,349170.87346577115
2607901,Jaboatão dos Guararapes,Preta,50682.1231146861
2611606,Recife,Amarela,15299.50521092238
2611606,Recife,Branca,628735.0761570038
2611606,Recife,Ignorado,18.0852822952265
2611606,Recife,Indígena,3186.9397049710874
2611606,Recife,Parda,764884.2610939479
2611606,Recife,Preta,125580.13255085562
2704302,Maceió,Amarela,10804.179502912952
2704302,Maceió,Branca,336469.4844431038
2704302,Maceió,Indígena,1982.0238387717407
2704302,Maceió,Parda,511349.9726117154
2704302,Maceió,Preta,72142.33960349238
