COD_MUN,NO_MUN,LE_ESCREVE,Total_Population
1302603,Manaus,Não,109165.23891188607
1302603,Manaus,Sim,1531149.677477671
1302603,Manaus,NA,161699.08361047268
1501402,Belém,Não,69155.8328306397
1501402,Belém,Sim,1224592.212172989
1501402,Belém,NA,99650.95499636683
2111300,São Luís,Não,58733.67912045694
2111300,São Luís,Sim,880701.0269785617
2111300,São Luís,NA,75402.2939009766
2211001,Teresina,Não,69552.13109236187
2211001,Teresina,Sim,685340.7118979277
2211001,Teresina,NA,59337.15700970773
2304400,Fortaleza,Não,183793.72570457152
2304400,Fortaleza,Sim,2098878.009157499
2304400,Fortaleza,NA,169513.26513795168
2408102,Natal,Não,71175.42060862444
2408102,Natal,Sim,679993.5996998047
2408102,Natal,NA,52569.979691572036
2507507,João Pessoa,Não,57373.02647804468
2507507,João Pessoa,Sim,615410.078065027
2507507,João Pessoa,NA,50731.89545692187
2607901,Jaboatão dos Guararapes,Não,57751.81056704006
2607901,Jaboatão dos Guararapes,Sim,540396.3587242513
2607901,Jaboatão dos Guararapes,NA,46471.83070870896
2611606,Recife,Não,113122.481022411
2611606,Recife,Sim,1328052.2370574283
2611606,Recife,NA,96529.28192015662
2704302,Maceió,Não,111775.85483508723
2704302,Maceió,Sim,749072.028136328
2704302,Maceió,NA,71900.11702858098
2800308,Aracaju,Não,40811.953443121645
2800308,Aracaju,Sim,489727.1235889254
2800308,Aracaju,NA,40609.92296795223
2910800,Feira de Santana,Não,52621.70623256196
2910800,Feira de Santana,Sim,463346.679002865
2910800,Feira de Santana,NA,40673.61476457316
2927408,Salvador,Não,130686.27794451988
2927408,Salvador,Sim,2379323.72482231
2927408,Salvador,NA,165645.99723322477
3106200,Belo Horizonte,Não,81657.46521662481
3106200,Belo Horizonte,Sim,2159887.2390428674
3106200,Belo Horizonte,NA,133606.29574052166
3118601,Contagem,Não,25621.766768025314
3118601,Contagem,Sim,538343.9565751809
3118601,Contagem,NA,39476.27665678611
3136702,Juiz de Fora,Não,20740.573599164
3136702,Juiz de Fora,Sim,466403.7554001174
3136702,Juiz de Fora,NA,29102.671000718597
3170206,Uberlândia,Não,26138.36748516717
3170206,Uberlândia,Sim,538659.100106929
3170206,Uberlândia,NA,39215.53240790853
3301702,Duque de Caxias,Não,48281.72641314702
3301702,Duque de Caxias,Sim,747568.2407131704
3301702,Duque de Caxias,NA,59198.03287368197
3303500,Nova Iguaçu,Não,43197.793080104646
3303500,Nova Iguaçu,Sim,699638.6116762321
3303500,Nova Iguaçu,NA,53420.59524367436
3304557,Rio de Janeiro,Não,233476.4503330632
3304557,Rio de Janeiro,Sim,5721984.164427952
3304557,Rio de Janeiro,NA,364985.385238959
3304904,São Gonçalo,Não,42305.39484454495
3304904,São Gonçalo,Sim,898634.337611036
3304904,São Gonçalo,NA,58788.26754435055
3509502,Campinas,Não,45604.937276176475
3509502,Campinas,Sim,970103.4585793343
3509502,Campinas,NA,64404.60414450726
3518800,Guarulhos,Não,63987.97222690707
3518800,Guarulhos,Sim,1067494.8680543776
3518800,Guarulhos,NA,90496.15971872024
3534401,Osasco,Não,33109.628818783494
3534401,Osasco,Sim,588742.6681760034
3534401,Osasco,NA,44887.703005210904
3543402,Ribeirão Preto,Não,24880.77593998427
3543402,Ribeirão Preto,Sim,543710.4154240515
3543402,Ribeirão Preto,NA,36090.80863596864
3547809,Santo André,Não,25042.09538867794
3547809,Santo André,Sim,611538.8598511361
3547809,Santo André,NA,39826.04476018661
3548708,São Bernardo do Campo,Não,29177.618123644934
3548708,São Bernardo do Campo,Sim,686912.194354309
3548708,São Bernardo do Campo,NA,49373.18752204346
3549904,São José dos Campos,Não,24268.18254794541
3549904,São José dos Campos,Sim,563385.2033142599
3549904,São José dos Campos,NA,42267.61413775186
3550308,São Paulo,Não,481145.1436756834
3550308,São Paulo,Sim,10060823.171865867
3550308,São Paulo,NA,711534.6844584559
3552205,Sorocaba,Não,24361.23476379115
3552205,Sorocaba,Sim,526476.821198022
3552205,Sorocaba,NA,35786.94403819161
4106902,Curitiba,Não,48832.43916049541
4106902,Curitiba,Sim,1594860.0517545452
4106902,Curitiba,NA,108214.50908496206
4113700,Londrina,Não,24898.2575435038
4113700,Londrina,Sim,449577.2324883159
4113700,Londrina,NA,32225.509968179525
4209102,Joinville,Não,17749.798519094067
4209102,Joinville,Sim,463483.9586734399
4209102,Joinville,NA,34054.242807468225
4314902,Porto Alegre,Não,50736.106482825926
4314902,Porto Alegre,Sim,1280363.438521889
4314902,Porto Alegre,NA,78251.45499528608
5002704,Campo Grande,Não,34195.069272608416
5002704,Campo Grande,Sim,695905.7298036399
5002704,Campo Grande,NA,56696.20092375267
5103403,Cuiabá,Não,30355.042679703474
5103403,Cuiabá,Sim,480123.81038561143
5103403,Cuiabá,NA,40619.14693466884
5208707,Goiânia,Não,52940.08497262679
5208707,Goiânia,Sim,1164426.4881275522
5208707,Goiânia,NA,84634.42689982592
5300108,Brasília,Não,117174.15446976507
5300108,Brasília,Sim,2263815.2523832675
5300108,Brasília,NA,189170.59314694503
