COD_MUN,NO_MUN,SEXO,Total_Population
1302603,Manaus,Feminino,922272.0000000151
1302603,Manaus,Masculino,879742.0000000146
1501402,Belém,Feminino,734390.9999999977
1501402,Belém,Masculino,659007.9999999979
2111300,São Luís,Feminino,539841.9999999979
2111300,São Luís,Masculino,474994.9999999973
2211001,Teresina,Feminino,433617.99999999854
2211001,Teresina,Masculino,380611.9999999987
2304400,Fortaleza,Feminino,1304267.0000000119
2304400,Fortaleza,Masculino,1147918.0000000102
2408102,Natal,Feminino,425792.00000000076
2408102,Natal,Masculino,377947.0000000004
2507507,João Pessoa,Feminino,385731.99999999645
2507507,João Pessoa,Masculino,337782.9999999971
2607901,Jaboatão dos Guararapes,Feminino,339770.0000000003
2607901,Jaboatão dos Guararapes,Masculino,304850
2611606,Recife,Feminino,827884.9999999984
2611606,Recife,Masculino,709818.9999999976
2704302,Maceió,Feminino,496255.99999999785
2704302,Maceió,Masculino,436491.99999999837
2800308,Aracaju,Feminino,305664.9999999999
2800308,Aracaju,Masculino,265483.9999999994
2910800,Feira de Santana,Feminino,292643.0000000001
2910800,Feira de Santana,Masculino,263999.00000000006
2927408,Salvador,Feminino,1426759.0000000284
2927408,Salvador,Masculino,1248897.0000000258
3106200,Belo Horizonte,Feminino,1261638.0000000065
3106200,Belo Horizonte,Masculino,1113513.0000000072
3118601,Contagem,Feminino,310643.9999999957
3118601,Contagem,Masculino,292797.99999999657
3136702,Juiz de Fora,Feminino,272223
3136702,Juiz de Fora,Masculino,244024.00000000003
3170206,Uberlândia,Feminino,309099.0000000019
3170206,Uberlândia,Masculino,294914.0000000028
3301702,Duque de Caxias,Feminino,443973.9999999992
3301702,Duque de Caxias,Masculino,411074.0000000002
3303500,Nova Iguaçu,Feminino,414507.0000000054
3303500,Nova Iguaçu,Masculino,381750.00000000565
3304557,Rio de Janeiro,Feminino,3360628.999999989
3304557,Rio de Janeiro,Masculino,2959816.9999999846
3304904,São Gonçalo,Feminino,524463.999999966
3304904,São Gonçalo,Masculino,475263.99999996554
3509502,Campinas,Feminino,559248.000000009
3509502,Campinas,Masculino,520865.0000000091
3518800,Guarulhos,Feminino,626936.000000002
3518800,Guarulhos,Masculino,595043.000000003
3534401,Osasco,Feminino,346303.9999999988
3534401,Osasco,Masculino,320435.99999999895
3543402,Ribeirão Preto,Feminino,314511.0000000025
3543402,Ribeirão Preto,Masculino,290171.00000000186
3547809,Santo André,Feminino,351949
3547809,Santo André,Masculino,324458.00000000064
3548708,São Bernardo do Campo,Feminino,395836.9999999983
3548708,São Bernardo do Campo,Masculino,369625.99999999907
3549904,São José dos Campos,Feminino,321296.99999997806
3549904,São José dos Campos,Masculino,308623.9999999791
3550308,São Paulo,Feminino,5924871.000000005
3550308,São Paulo,Masculino,5328632.000000002
3552205,Sorocaba,Feminino,299611.0000000026
3552205,Sorocaba,Masculino,287014.00000000215
4106902,Curitiba,Feminino,916792.0000000021
4106902,Curitiba,Masculino,835115.0000000007
4113700,Londrina,Feminino,263641.99999999965
4113700,Londrina,Masculino,243058.99999999953
4209102,Joinville,Feminino,259532.00000000105
4209102,Joinville,Masculino,255756.00000000116
4314902,Porto Alegre,Feminino,755564.0000000002
4314902,Porto Alegre,Masculino,653787.0000000009
5002704,Campo Grande,Feminino,405464.00000000105
5002704,Campo Grande,Masculino,381332.99999999994
5103403,Cuiabá,Feminino,281893.9999999924
5103403,Cuiabá,Masculino,269203.9999999913
5208707,Goiânia,Feminino,681144.0000000024
5208707,Goiânia,Masculino,620857.0000000024
5300108,Brasília,Feminino,1341279.9999999888
5300108,Brasília,Masculino,1228879.9999999888
