COD_UF,NO_UF,COD_MUN,NO_MUN,SEXO,ETNIA,LE_ESCREVE,SIT_DOM,POP
27,AL,2704302,Maceió,Feminino,Branca,Não,Rural,42.9944133260667
27,AL,2704302,Maceió,Feminino,Branca,Sim,Rural,63.0425398191457
27,AL,2704302,Maceió,Feminino,Branca,NA,Rural,21.3618407625361
27,AL,2704302,Maceió,Feminino,Parda,Não,Rural,21.6325725635306
27,AL,2704302,Maceió,Feminino,Parda,Sim,Rural,82.2784709092412
27,AL,2704302,Maceió,Feminino,Parda,NA,Rural,21.6325725635306
27,AL,2704302,Maceió,Feminino,Preta,Sim,Rural,42.9944133260667
27,AL,2704302,Maceió,Feminino,Preta,NA,Rural,21.6325725635306
27,AL,2704302,Maceió,Masculino,Branca,Sim,Rural,103.118820437546
27,AL,2704302,Maceió,Masculino,Parda,Não,Rural,61.7088531819309
27,AL,2704302,Maceió,Masculino,Parda,Sim,Rural,60.9166301467051
27,AL,2704302,Maceió,Masculino,Parda,NA,Rural,41.1392354546206
27,AL,2704302,Maceió,Masculino,Preta,Não,Rural,21.6325725635306
27,AL,2704302,Maceió,Masculino,Preta,Sim,Rural,64.3562540886028
27,AL,2704302,Maceió,Feminino,Amarela,Não,Urbana,695.72701560159
27,AL,2704302,Maceió,Feminino,Amarela,Sim,Urbana,5567.65607286647
27,AL,2704302,Maceió,Feminino,Amarela,NA,Urbana,338.451637768124
27,AL,2704302,Maceió,Feminino,Branca,Não,Urbana,15061.5563118032
27,AL,2704302,Maceió,Feminino,Branca,Sim,Urbana,151043.273776285
27,AL,2704302,Maceió,Feminino,Branca,NA,Urbana,15961.3767027568
27,AL,2704302,Maceió,Feminino,Indígena,Não,Urbana,220.784468810069
27,AL,2704302,Maceió,Feminino,Indígena,Sim,Urbana,1037.52453761283
27,AL,2704302,Maceió,Feminino,Parda,Não,Urbana,37270.5728198399
27,AL,2704302,Maceió,Feminino,Parda,Sim,Urbana,215916.189829596
27,AL,2704302,Maceió,Feminino,Parda,NA,Urbana,18062.1225443489
